strategy,scenario,start,end,days,average_one_way_turnover,annualized_return,sharpe,cagr,cumulative_return,max_drawdown,total_fees,terminal_residual_value
baseline_daily,gross,2025-01-02,2026-08-28,402,1.2926784788272752,0.38609200183535314,2.8008136728603255,0.4569932818968405,0.8228616556963657,-0.09957025847161094,0.0,0.006818770415584206
baseline_daily,fees_slip0,2025-01-02,2026-08-28,402,1.2917652008450247,0.02735854071074378,0.19863007321137013,0.018085584570584734,0.02900572974055482,-0.15243504632513194,0.5479183584582159,0.004751044982990564
baseline_daily,fees_slip2,2025-01-02,2026-08-28,402,1.2914410316644567,-0.10293413078115801,-0.7475119470337571,-0.10630741700378665,-0.1641401144273208,-0.28557862597475425,0.6739945433397085,0.004166179369634278
baseline_daily,fees_slip5,2025-01-02,2026-08-28,402,1.290962753087821,-0.2982548284732443,-2.166652401190575,-0.26499522707000367,-0.38807109439918985,-0.45922720950377394,0.8139261003204502,0.003421029121454725
buffer_20_30,gross,2025-01-02,2026-08-28,402,1.0114615551819206,0.4172807801454563,2.909409136718191,0.5019041815492569,0.9133147028341617,-0.09551805188597318,0.0,0.007091669954399684
buffer_20_30,fees_slip0,2025-01-02,2026-08-28,402,1.0108856572359244,0.1364822567880692,0.9526106743478148,0.13455715953409553,0.22309764840734014,-0.13939344931443487,0.472876872621022,0.005351942177411509
buffer_20_30,fees_slip2,2025-01-02,2026-08-28,402,1.0106826568160296,0.03448651540110275,0.2407861632207361,0.02457685653208186,0.039491768418996154,-0.16489261198459282,0.5933595475870781,0.00483141053099601
buffer_20_30,fees_slip5,2025-01-02,2026-08-28,402,1.0103846473910447,-0.1184337667652383,-0.827283208887705,-0.12073524636581279,-0.185562879587025,-0.30785816477628347,0.7363147108233528,0.004143955308884614
rank_mean_5d,gross,2025-01-02,2026-08-28,402,0.428825159743716,0.24069039880369378,1.4299172400673794,0.2542004696966329,0.43522080219179204,-0.17380361105435937,0.0,0.006090270059306997
rank_mean_5d,fees_slip0,2025-01-02,2026-08-28,402,0.4287148859318656,0.12167827274151793,0.7231618050461364,0.11356787549711389,0.18720098876803393,-0.19810456670192667,0.20274005504638234,0.005412241361904336
rank_mean_5d,fees_slip2,2025-01-02,2026-08-28,402,0.4286768029263083,0.07843521865085207,0.4662136428486267,0.06645673367909843,0.10809277231773629,-0.2079442666710084,0.26688900735444065,0.005184950877427456
rank_mean_5d,fees_slip5,2025-01-02,2026-08-28,402,0.42862135697129344,0.01358416904660615,0.08075658011521994,-0.0005001699471943732,-0.0007977713718302359,-0.22485421355552926,0.3546966278138526,0.004861781214397966
