decile,mean_return,mean_excess,days,scored_stock_days,cumulative_excess_pp,mean_return_bp,mean_excess_bp
1,0.0004923631192490828,-0.0008745596700114498,401,40083,-35.069842767459136,4.923631192490828,-8.745596700114497
2,0.0013090456121379072,-5.7877177122625264e-05,401,40094,-2.320874802617273,13.090456121379072,-0.5787717712262527
3,0.0012594791345144206,-0.00010744365474611175,401,40092,-4.308490555319081,12.594791345144206,-1.0744365474611175
4,0.0012491718763314062,-0.00011775091292912642,401,40087,-4.721811608457969,12.491718763314061,-1.1775091292912643
5,0.001509564532852886,0.00014264174359235378,401,39817,5.719933918053386,15.09564532852886,1.4264174359235378
6,0.0015209187983221543,0.0001539960090616218,401,40017,6.175239963371035,15.209187983221543,1.539960090616218
7,0.0015506206482828087,0.00018369785902227595,401,40091,7.366284146793266,15.506206482828087,1.8369785902227596
8,0.0015843853280509388,0.00021746253879040628,401,40093,8.720247805495292,15.84385328050939,2.174625387904063
9,0.0016062101475006177,0.00023928735824008517,401,40095,9.595423065427415,16.062101475006177,2.392873582400852
10,0.0015874686953631025,0.00022054590610257003,401,40097,8.843890834713058,15.874686953631025,2.2054590610257003
