strategy,scenario,start,end,days,average_one_way_turnover,annualized_return,sharpe,cagr,cumulative_return,max_drawdown,total_fees,terminal_residual_value,gross_annualized_return,gross_sharpe
daily_decile,fees_slip0,2025-01-02,2026-08-28,402,1.5050487459972783,0.13517945600438033,0.7837137308739848,0.1278897509529371,0.2116515762624156,-0.14764833542492384,0.6817132159037846,0.0,0.5534612309795758,3.2061998493090664
buffer_10_15,fees_slip0,2025-01-02,2026-08-28,402,1.3145099665631246,0.20670088412507023,1.1808490039966708,0.2109367348523159,0.3570583141362871,-0.13129605013393697,0.642314881752455,0.0,0.5720595914926058,3.2666923631925533
buffer_10_20,fees_slip0,2025-01-02,2026-08-28,402,1.1439188708214207,0.2572705971312345,1.4427777920318674,0.2729649415096449,0.46962720520158174,-0.13243343317984213,0.5806796372700179,0.0,0.5752453542723253,3.2242183191526226
buffer_10_25,fees_slip0,2025-01-02,2026-08-28,402,1.0005899891519605,0.30404203918815725,1.6992270351442456,0.3337101321440632,0.5830797370349694,-0.12101898912256248,0.531078876679872,0.0,0.5821985479110604,3.252176291799198
buffer_10_30,fees_slip0,2025-01-02,2026-08-28,402,0.8704084380065543,0.3546145491394349,1.9912856263148793,0.40300744622581197,0.7163097750463763,-0.12447426970892117,0.4899702252476991,0.0,0.5966174940351617,3.3492250915921224
every_2d_phase0,fees_slip0,2025-01-02,2026-08-28,402,0.7645093023263613,0.2253066244304101,1.3022116087645683,0.2340782577848075,0.3986638692962441,-0.18370804435149946,0.3948733070459872,0.012394809304149313,0.43778295069827755,2.530159178368863
every_2d_phase1,fees_slip0,2025-01-02,2026-08-28,402,0.7666810939862482,0.15028816060651443,0.9318619640065348,0.14718704865722065,0.24488950015377386,-0.13055849815503084,0.36247375622388833,0.0,0.363555479322591,2.2329976974860197
every_3d_phase0,fees_slip0,2025-01-02,2026-08-28,402,0.5165036862541725,0.11222184840962109,0.720198743627445,0.10528679114153117,0.17314837731410426,-0.1757087382957857,0.2517113320701918,0.011425321157851238,0.2557735318143124,1.6360099921824436
every_3d_phase1,fees_slip0,2025-01-02,2026-08-28,402,0.5138310975186072,0.07518729106364613,0.4590646909747851,0.06376547265792198,0.103635308762279,-0.17845493527255707,0.24686088022564834,0.0,0.21791454775453858,1.3277072004773287
every_3d_phase2,fees_slip0,2025-01-02,2026-08-28,402,0.5140737536684327,0.25761430963431836,1.4791000666201533,0.2743439022442955,0.4721676404274424,-0.12780208413238425,0.25805973636482404,0.011749782828921355,0.4006427124925916,2.290143036235295
every_5d_phase0,fees_slip0,2025-01-02,2026-08-28,402,0.3122070622292807,0.20740812195257313,1.2851029745575175,0.2145169936880833,0.3634644895597068,-0.1499054132085499,0.16304089569732233,0.013860589261245044,0.29415129709658955,1.8263310032469724
every_5d_phase1,fees_slip0,2025-01-02,2026-08-28,402,0.31347734161167634,0.12308151416867014,0.7475711356393928,0.11577001177561108,0.19094841181452926,-0.1708321333895203,0.15444177603606768,0.011579441679641141,0.21030244896168696,1.270122641691216
every_5d_phase2,fees_slip0,2025-01-02,2026-08-28,402,0.31432380031250856,0.23114901201911672,1.3497904275324926,0.24174810524614054,0.41255650994554727,-0.14914490301297245,0.15360064488938338,0.010821226322708297,0.3184838041849294,1.861065687935713
every_5d_phase3,fees_slip0,2025-01-02,2026-08-28,402,0.3139276890206282,0.13221979293439512,0.8148645238538789,0.12646790455596446,0.20921586224268274,-0.16156584183604317,0.14288852100956878,0.0,0.21955380747996425,1.3462494571434478
every_5d_phase4,fees_slip0,2025-01-02,2026-08-28,402,0.31204300707442645,0.11132922527200423,0.7047656104847762,0.10393851960813238,0.1708663380223554,-0.20510596472607545,0.1529361051011944,0.0,0.19803742198108015,1.2517700498056505
partial_25,fees_slip0,2025-01-02,2026-08-28,402,0.37182519174319,0.1670193984108039,0.9957868400982613,0.16530323680951553,0.2763975105172536,-0.16613269066783776,0.18067186101870863,0.006451094952251436,0.27027238385658037,1.6107809495403145
partial_50,fees_slip0,2025-01-02,2026-08-28,402,0.7587440092224131,0.17032736421850422,1.072640481798513,0.1708551083794847,0.2861121546598189,-0.14387227093027455,0.3669785732836701,0.005677953994554741,0.3810753537328689,2.3986199599569757
partial_75,fees_slip0,2025-01-02,2026-08-28,402,1.1362409506747877,0.1577283546669468,0.9705735808844247,0.15551860702357923,0.2593434024787096,-0.1328184962986806,0.5350578083782429,0.0027794825224812295,0.473425269790553,2.9112598353470016
buffer_10_20_partial50,fees_slip0,2025-01-02,2026-08-28,402,0.5953866242920116,0.13226546667123149,0.7674536513168482,0.1246398954509147,0.2060870533865189,-0.16800701453171463,0.28045300287173147,0.0046640062261354585,0.2975703361193507,1.7257533429614773
buffer_10_20_every2_phase0,fees_slip0,2025-01-02,2026-08-28,402,0.5923366541841086,0.28682024884675356,1.6028963550435045,0.3109398645433501,0.5401836697311422,-0.1865425316402094,0.32454109421265903,0.013103434747817588,0.4514772304322316,2.521933019065924
buffer_10_20_every2_phase1,fees_slip0,2025-01-02,2026-08-28,402,0.589791629337192,0.17320569172216047,1.013800550063728,0.17191746235153538,0.2879741890262757,-0.139625182085513,0.2886764430559734,0.0,0.3372511995495057,1.9607810223487352
