strategy,name,turnover,turnover_reduction_vs_daily,gross_annualized,net_annualized,net_sharpe,net_cumulative,max_drawdown,net_annualized_delta,gross_annualized_delta,net_2025_annualized,net_2025_sharpe,net_2026_annualized,net_2026_sharpe,net_slip2_annualized,net_slip2_sharpe,net_slip5_annualized,net_slip5_sharpe,turnover_lower_net_and_sharpe_higher,annualized_beats_daily_both_years
daily_decile,每日 Q10−Q1,1.5050487459972783,0.0,0.5534612309795758,0.1351794560043803,0.7837137308739848,0.2116515762624156,-0.1476483354249238,0.0,0.0,0.1066807972695825,0.781592682922065,0.1787340099198259,0.824779584261935,-0.0167075334374541,-0.0968860124535308,-0.2443744819605385,-1.4175667455789354,False,False
buffer_10_15,10% 持仓 / 15% 保留带,1.3145099665631246,0.12659973967015836,0.5720595914926058,0.2067008841250702,1.1808490039966708,0.3570583141362871,-0.1312960501339369,0.0715214281206899,0.018598360513029988,0.1864054320163048,1.3379892068922268,0.2377184618762022,1.0846905886731073,0.0740208025948594,0.422912623692886,-0.1248752540856023,-0.7135540273590344,True,True
buffer_10_20,10% 持仓 / 20% 保留带,1.1439188708214207,0.2399456337452811,0.5752453542723253,0.2572705971312345,1.4427777920318674,0.4696272052015817,-0.1324334331798421,0.12209114112685421,0.02178412329274948,0.2246560519867502,1.5899056140848922,0.3071154680124274,1.3720677625903066,0.1417910994243901,0.7952860393643768,-0.0313340804531746,-0.175782534436074,True,True
buffer_10_25,10% 持仓 / 25% 保留带,1.0005899891519603,0.33517768656127656,0.5821985479110604,0.3040420391881572,1.6992270351442456,0.5830797370349694,-0.1210189891225624,0.1688625831837769,0.028737316931484624,0.2771989489190698,1.972479724566111,0.3450663846937438,1.5280572523079698,0.2030203584084656,1.1347833191454118,0.0515604921227373,0.2882434288942406,True,True
buffer_10_30,10% 持仓 / 30% 保留带,0.8704084380065543,0.42167425452402696,0.5966174940351617,0.3546145491394349,1.9912856263148797,0.7163097750463763,-0.1244742697089211,0.2194350931350546,0.04315626305558595,0.349926455763383,2.510870031176731,0.3617793710915142,1.606090336666047,0.2667245803362241,1.4978306944231057,0.1349461754810667,0.757842086280864,True,True
every_2d_phase0,每 2 日调仓 / 相位 0,0.7645093023263613,0.4920368497302188,0.4377829506982775,0.2253066244304101,1.3022116087645683,0.3986638692962441,-0.1837080443514994,0.0901271684260298,-0.11567828028129828,0.2522244186121125,1.8469381862902607,0.1841681087942233,0.8459167653157494,0.1481682785420007,0.8551024924104719,0.0325473325271039,0.1871428176528205,True,True
every_2d_phase1,每 2 日调仓 / 相位 1,0.7666810939862482,0.4905938455314094,0.363555479322591,0.1502881606065144,0.9318619640065348,0.2448895001537738,-0.1305584981550308,0.015108704602134093,-0.18990575165698476,0.1208462578053366,0.9456165788154606,0.1952842762083145,0.9646096562256083,0.0728549168891831,0.4525262724213975,-0.0432088720336557,-0.2686275156782248,True,True
every_3d_phase0,每 3 日调仓 / 相位 0,0.5165036862541725,0.6568192972966296,0.2557735318143124,0.112221848409621,0.720198743627445,0.1731483773141042,-0.1757087382957857,-0.022957607594759302,-0.2976876991652634,0.1642464235666781,1.26653867228416,0.032712592037515,0.1728373531213435,0.0601026555433925,0.3855423208658592,-0.0180172054188436,-0.1153066812135466,False,False
every_3d_phase1,每 3 日调仓 / 相位 1,0.5138310975186072,0.6585950462500592,0.2179145477545385,0.0751872910636461,0.4590646909747851,0.103635308762279,-0.178454935272557,-0.0599921649407342,-0.3355466832250373,0.1469440227917612,1.144576442908532,-0.034478657426492,-0.1667424701411594,0.0233629245926668,0.1425415590588108,-0.0543156430461731,-0.3305418847171761,False,False
every_3d_phase2,每 3 日调仓 / 相位 2,0.5140737536684327,0.6584338181499921,0.4006427124925916,0.2576143096343183,1.4791000666201533,0.4721676404274424,-0.1278020841323842,0.122434853629938,-0.1528185184869842,0.1947169967562821,1.5062045410781422,0.3537403915799963,1.561329740005387,0.2056985099088715,1.1813542008491251,0.1278840843717062,0.7337957370704794,True,True
every_5d_phase0,每 5 日调仓 / 相位 0,0.3122070622292807,0.7925601658686441,0.2941512970965895,0.2074081219525731,1.2851029745575175,0.3634644895597068,-0.1499054132085499,0.0722286659481928,-0.2593099338829863,0.2375939089784096,1.916008376946176,0.1612751266866722,0.7819042055367762,0.1759269080998112,1.0879850908532611,0.1287414256247987,0.793044473621328,True,False
