candidate,selection_role,selection_reason,active_days,evaluation_years,evaluation_protocol,i_trial_passed,i_quality_passed,i_linear_signal_passed,i_residual_signal_passed,i_redundancy_passed,i_trial_reasons,i_coverage,i_active_days,i_rank_ic_mean,i_residual_rank_ic,i_max_abs_rank_correlation,individual_passed,individual_reasons,force_refreshed,evaluation_status,frozen_after_validation,feature,benchmark,passed
self__FR-001,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,True,False,False,True,I linear/residual signal gate failed,1.0,730.0,-0.003711067124446559,-0.0015583687194673987,0.30391838827214707,False,I linear/residual signal gate failed,False,i_entry_failed,False,self__FR-001,incremental_entry,False
self__FR-002,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-002,incremental_entry,False
self__FR-003,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,682,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,True,False,False,True,I linear/residual signal gate failed,1.0,682.0,-0.007632513275889918,-0.00013061534161498036,0.48798936379498614,False,I linear/residual signal gate failed,False,i_entry_failed,False,self__FR-003,incremental_entry,False
self__FR-004,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,682,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-004,incremental_entry,False
self__FR-005,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-005,incremental_entry,False
self__FR-006,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,682,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-006,incremental_entry,False
self__FR-008,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,50,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,False,True,True,True,I quality gate failed,1.0,50.0,-0.008673039471289829,0.00935405623417186,0.03953210426129365,False,I quality gate failed,False,i_entry_failed,False,self__FR-008,incremental_entry,False
self__FR-009,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,0,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,False,True,True,True,I quality gate failed,1.0,0.0,,0.009802859610355577,,False,I quality gate failed,False,i_entry_failed,False,self__FR-009,incremental_entry,False
self__FR-010,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-010,incremental_entry,False
self__FR-011,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-011,incremental_entry,False
