candidate,evaluation_stage,baseline_candidates,train_start,train_end,test_start,test_end,feature,split_importance,gain_importance
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__amount,51.0,522.5364365577698
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__atr_14,28.0,183.771719455719
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__bias_20,114.0,2917.6232228279114
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__cci_14,19.0,244.32193040847778
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__float_market_cap,21.0,106.22468972206116
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__kdj_d_9_3_3,25.0,161.58432984352112
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__macd_diff_12_26_9,23.0,101.91679048538208
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__macd_hist_12_26_9,22.0,124.72073912620544
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__momentum_5,67.0,672.3259081840515
__joint_lightgbm__,final_joint,"self__FR-013,self__INT-002,self__OB-004,self__PV-009,self__OB-003,self__FR-012,self__PV-017,self__PV-019,self__HF-001,self__PV-010,self__FR-002,self__PV-016,self__FR-005,self__PV-004,self__PV-015,self__FR-004,self__PV-011,self__PV-021,self__INT-003,self__OB-005,self__PV-023,self__FR-001,self__HF-004,self__PV-002,self__OB-002,self__OB-001,self__FR-010",2019-01-02,2019-04-02,2019-04-03,2019-05-06,factorlib__net_profit_rate_ttm,10.0,67.48435091972351
