group,rank,route,family,years,J,A,B,b_mean_abs_weight,b_std_abs_weight,b_nonzero_window_ratio
full_history_2019_2024_in_sample_inclusive,1,x_tree_frozen,X_tree,"[2019, 2020, 2021, 2022, 2023, 2024]",1.0,1.0,1.0,0.37710475292722334,0.09713108551720406,1.0
full_history_2019_2024_in_sample_inclusive,2,m_raw_frozen,M,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9984913793103447,1.0,0.9978448275862069,0.03616478032867898,0.010729334362645546,1.0
full_history_2019_2024_in_sample_inclusive,3,x_mlp_frozen,X,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9954992421371731,0.9950549450549451,0.9956896551724138,0.1245228749868808,0.038938270791426075,0.9701492537313433
full_history_2019_2024_in_sample_inclusive,4,t_frozen,T,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9909733800682076,0.9950549450549451,0.9892241379310345,0.033235836477963854,0.013584606686416482,1.0
full_history_2019_2024_in_sample_inclusive,5,m_l5_frozen,M_l5,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9777254641909814,0.9961538461538462,0.9698275862068966,0.027343390822695015,0.015476295475564287,0.9253731343283582
full_history_2019_2024_in_sample_inclusive,6,en454_existing_causal,EN454,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9740848806366047,0.9538461538461538,0.9827586206896551,0.029453389033135696,0.01498516650120972,0.9402985074626866
full_history_2019_2024_in_sample_inclusive,7,t_residual_frozen,T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.5061045850701023,0.8824175824175824,0.3448275862068966,0.004765836086344402,0.005236854507934764,0.6417910447761194
full_history_2019_2024_in_sample_inclusive,8,x_en_tres_w020,X_EN_T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.3100909435392194,0.9934065934065934,0.017241379310344827,0.004007146652479192,0.008408047466828973,0.26865671641791045
full_history_2019_2024_in_sample_inclusive,9,x_en_w050,X_EN,"[2019, 2020, 2021, 2022, 2023, 2024]",0.3085823228495642,0.9934065934065934,0.015086206896551725,0.005416442079899042,0.011671373568340594,0.26865671641791045
full_history_2019_2024_in_sample_inclusive,10,x_en_tres_w010,X_EN_T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.30103921940128836,0.9934065934065934,0.004310344827586207,0.0015763469761008266,0.006344477514120478,0.07462686567164178
