candidate_id,rank_ic_mean,rank_ic_std,rank_ic_t,rank_ic_abs_mean,positive_day_share,n_days,finite_rows,rank_ic_mean_abs_rank
HF-006,-0.07759107214149881,0.08081561650657174,-25.940473113134477,0.09159170730057586,0.15342465753424658,730,728662,1
HF-035,-0.07652158724571281,0.09378118627864349,-22.04599364196937,0.09907460699747075,0.20821917808219179,730,728662,2
HF-027,-0.06611128929668025,0.06316383534149875,-28.27929407588504,0.0757802397873952,0.13561643835616438,730,728662,3
HF-032,0.06006545259177971,0.1258910318719908,12.891141949099625,0.11077130045068943,0.7041095890410959,730,728662,4
HF-005,-0.058804024313330455,0.1032007531673254,-15.395209801509825,0.09494620337376865,0.2671232876712329,730,728662,5
HF-028,-0.0582864679167371,0.0742287276854368,-21.215689558324577,0.07641071286691477,0.2054794520547945,730,728662,6
HF-016,0.057926069260971026,0.12253409396331186,12.772577466354608,0.10721700052851861,0.7095890410958904,730,728662,7
HF-015,0.056242907439408386,0.1070225338080358,14.198875929978984,0.09522090353163357,0.7287671232876712,730,728662,8
HF-022,-0.054882953552771827,0.12837389698449458,-11.551069052547716,0.11442700394049528,0.32602739726027397,730,728662,9
HF-012,-0.05405643366328427,0.11470430378988124,-12.732952144439851,0.10360672984520347,0.3136986301369863,730,728662,10
HF-025,0.05199302950044807,0.08389884373300963,16.74366699138861,0.08039090279668738,0.7547945205479452,730,728662,11
HF-033,-0.050220216413194955,0.08347987967725294,-16.253922905698527,0.07763841349610748,0.236986301369863,730,728662,12
HF-014,0.04725586866382589,0.1332450351819047,9.58222016271757,0.11365515070459978,0.6616438356164384,730,728662,13
HF-034,0.04469793889359713,0.0681794573505215,17.71313314889901,0.06496774545462702,0.7561643835616438,730,728662,14
HF-010,-0.041044597127617,0.1422105715866411,-7.798041557131715,0.11978951704220782,0.38493150684931504,730,728662,15
HF-011,-0.04068170411563858,0.14203604472158243,-7.738592833877431,0.11959632230629827,0.3835616438356164,730,728662,16
HF-018,0.04033006525930548,0.07240271392922915,15.04996567089698,0.06567384027971017,0.6986301369863014,730,728662,17
HF-021,0.037514644101718696,0.1610100425805892,6.295196573165211,0.13292044939432057,0.5835616438356165,730,728662,18
HF-036,0.03432747670178113,0.08445177857862946,10.98233054079356,0.07274000852354327,0.6794520547945205,730,728662,19
HF-007,-0.03089089950693928,0.10391557235186197,-8.03177161467927,0.08358139732773105,0.3547945205479452,730,728662,20
HF-023,0.030075859647934904,0.10051257681975242,8.084609963235925,0.0825915248831721,0.636986301369863,730,728662,21
INT-004,-0.029639684362357088,0.06060386013033221,-13.214012622342418,0.052987950687886656,0.28356164383561644,730,728662,22
HF-017,0.028585476559214017,0.07156297239255638,10.79241150195651,0.06083645204576862,0.6863013698630137,730,728662,23
HF-019,0.024721569215477444,0.0826075504062191,8.085701796990794,0.06859289475551607,0.6191780821917808,730,728662,24
HF-020,0.022633974418033685,0.07597719928654292,8.048945197529896,0.06302718304106346,0.6191780821917808,730,728662,25
HF-024,0.01990271665014444,0.07581564302941778,7.092755143729015,0.06094205008893254,0.6027397260273972,730,728662,26
HF-029,-0.017144258107789148,0.0845034444010972,-5.481579474680457,0.06825889377569407,0.40684931506849314,730,728662,27
HF-009,-0.015751634676837552,0.1092841529130545,-3.89430417772441,0.08404067125494233,0.4246575342465753,730,728662,28
HF-026,-0.014695826779471777,0.05792404100573838,-6.85482863121636,0.04672239141506202,0.3698630136986301,730,728662,29
OB-006,-0.00776880737730753,0.1403176844990178,-1.4959027968340495,0.11279671043341591,0.4945205479452055,730,728662,30
HF-030,0.0071057389479344405,0.07201419563931807,2.665953463104594,0.05712453290215948,0.5808219178082191,730,728662,31
HF-008,-0.005403185578865216,0.11626485730374382,-1.2556333763856302,0.08883373899889532,0.4794520547945205,730,728662,32
HF-013,-0.00289797294646671,0.04817905254396739,-1.6251651536193934,0.03816916010208908,0.4767123287671233,730,728662,33
HF-031,-0.0005786549937351787,0.09709845264684662,-0.16101592317447988,0.07485706809284487,0.4876712328767123,730,728662,34
