year,block,age_start,age_end,date_start,date_end,days,ic,icir,stress_days,stress_ic,stress_icir,seed_ic_sd
2022,1,1,60,2022-01-04,2022-04-06,60,0.03396989800657782,0.8721480924678722,18,0.03331062887731864,0.8956611089153298,0.004419422648326903
2022,2,61,120,2022-04-07,2022-07-05,60,0.053816147106330564,1.338975768509303,27,0.0536216792606892,1.1921035749205975,0.0023331598069128785
2022,3,121,180,2022-07-06,2022-09-28,60,0.03871892540565248,0.9344838878090473,8,0.03604347794845573,1.1591584435435325,0.000204349990154988
2022,4,181,240,2022-09-29,2022-12-28,60,0.04625787539800246,1.186476799531881,8,0.044069161899221984,1.0673330153286185,0.0021926524258265466
2023,1,1,60,2023-01-03,2023-04-03,60,0.04569672362283084,1.0764022943096363,8,0.008931793319114045,0.23224972631753996,0.0025345897134381548
2023,2,61,120,2023-04-04,2023-07-04,60,0.04318171363365166,1.1221632402169528,37,0.04883597860799927,1.203914308218214,0.00377938848766279
2023,3,121,180,2023-07-05,2023-09-26,60,0.03564639813838996,0.950942367979024,7,0.04776144808049942,1.5922432970089848,0.001764449463834594
2023,4,181,240,2023-09-27,2023-12-27,60,0.03735809339727522,1.0107422973279587,9,0.01725188229753795,0.4756007366780743,0.0004821810580769541
2024,1,1,60,2024-01-02,2024-04-02,60,0.04167512563535061,1.111558478133417,9,0.03462455518601578,0.917260575835393,0.002216474304151167
2024,2,61,120,2024-04-03,2024-07-03,60,0.04113579927569906,1.0675408399779407,12,0.037859741666879144,0.761554632397152,0.0014802115396418116
2024,3,121,180,2024-07-04,2024-09-27,60,0.032818877600909194,0.8207350192306183,6,0.024949593911485986,0.45490740616780445,0.0006638581721711636
2024,4,181,240,2024-09-30,2024-12-27,60,0.03775160792317055,0.6911875037476319,33,0.027482732521772805,0.6026975581211218,0.0015389284231397044
