year,block,age_start,age_end,date_start,date_end,seed,days,ic,icir
2022,1,1,60,2022-01-04,2022-04-06,20260801,60,0.03832226591303529,1.126753266056672
2022,1,1,60,2022-01-04,2022-04-06,20260812,60,0.029486341792600065,0.6070037836054111
2022,1,1,60,2022-01-04,2022-04-06,20260823,60,0.03410108631409812,0.8145235329740679
2022,2,61,120,2022-04-07,2022-07-05,20260801,60,0.05192680245586532,1.2967328022778497
2022,2,61,120,2022-04-07,2022-07-05,20260812,60,0.053097564406495615,1.2400122572782653
2022,2,61,120,2022-04-07,2022-07-05,20260823,60,0.05642407445663075,1.2761144777164417
2022,3,121,180,2022-07-06,2022-09-28,20260801,60,0.03864265702434659,0.9031323462664128
2022,3,121,180,2022-07-06,2022-09-28,20260812,60,0.03895044074581611,0.8499792792031204
2022,3,121,180,2022-07-06,2022-09-28,20260823,60,0.038563678446794716,0.8703610546543066
2022,4,181,240,2022-09-29,2022-12-28,20260801,60,0.04471194929321006,1.3092824356511108
2022,4,181,240,2022-09-29,2022-12-28,20260812,60,0.045294373933233385,0.9905103110668058
2022,4,181,240,2022-09-29,2022-12-28,20260823,60,0.04876730296756396,1.1418110683556075
2023,1,1,60,2023-01-03,2023-04-03,20260801,60,0.04677764002901283,1.1518293421321402
2023,1,1,60,2023-01-03,2023-04-03,20260812,60,0.04280087589619995,0.9489941067520998
2023,1,1,60,2023-01-03,2023-04-03,20260823,60,0.047511654943279726,1.063371700160715
2023,2,61,120,2023-04-04,2023-07-04,20260801,60,0.04679878146042446,1.1745782545129142
2023,2,61,120,2023-04-04,2023-07-04,20260812,60,0.03925861295776476,1.023709126604178
2023,2,61,120,2023-04-04,2023-07-04,20260823,60,0.04348774648276579,1.0914778705976287
2023,3,121,180,2023-07-05,2023-09-26,20260801,60,0.03767568458302552,0.9793711803843289
2023,3,121,180,2023-07-05,2023-09-26,20260812,60,0.03447434048013965,0.8854581507468506
2023,3,121,180,2023-07-05,2023-09-26,20260823,60,0.0347891693520047,0.9025152867269914
2023,4,181,240,2023-09-27,2023-12-27,20260801,60,0.03696348908309748,0.9542410860580114
2023,4,181,240,2023-09-27,2023-12-27,20260812,60,0.03721522772932409,1.0528484345511637
2023,4,181,240,2023-09-27,2023-12-27,20260823,60,0.0378955633794041,0.9293428320156819
2024,1,1,60,2024-01-02,2024-04-02,20260801,60,0.04120641357324204,1.0407380265556445
2024,1,1,60,2024-01-02,2024-04-02,20260812,60,0.039730493347691874,1.0300010950586365
2024,1,1,60,2024-01-02,2024-04-02,20260823,60,0.04408846998511794,1.1649202040543882
2024,2,61,120,2024-04-03,2024-07-03,20260801,60,0.040714434120747156,1.0221648052486974
2024,2,61,120,2024-04-03,2024-07-03,20260812,60,0.039911955883827246,0.9828572298647363
2024,2,61,120,2024-04-03,2024-07-03,20260823,60,0.04278100782252272,1.0986524367357235
2024,3,121,180,2024-07-04,2024-09-27,20260801,60,0.03205372519143661,0.721749084640684
2024,3,121,180,2024-07-04,2024-09-27,20260812,60,0.033241628616997414,0.8127493047063101
2024,3,121,180,2024-07-04,2024-09-27,20260823,60,0.03316127899429355,0.8689011579383924
2024,4,181,240,2024-09-30,2024-12-27,20260801,60,0.038738667973032874,0.6509833309353512
2024,4,181,240,2024-09-30,2024-12-27,20260812,60,0.03853775951294737,0.676927951392319
2024,4,181,240,2024-09-30,2024-12-27,20260823,60,0.03597839628353142,0.6976178945135796
