arm,label,metric,comparison,supplementary,n,reference_mean,candidate_mean,mean_difference,sd_difference,t,p_two_sided,ci_low,ci_high
k15_no_stats,k15，去统计通路,ric_mean,k15_no_stats_minus_k15_baseline,True,3,0.01955244567684831,0.0192336451304084,-0.0003188005464399117,0.00020324905881897166,-2.7167591679057113,0.1129835845422437,-0.0008236991983298802,0.00018609810545005677
k15_no_stats,k15，去统计通路,ric_ir,k15_no_stats_minus_k15_baseline,True,3,0.1917302724211071,0.18421683625761057,-0.007513436163496497,0.004661579949911294,-2.791682930344025,0.10793341983703385,-0.019093442713410354,0.004066570386417361
k15_no_stats,k15，去统计通路,stress_ric_mean,k15_no_stats_minus_k15_baseline,True,3,-0.0047870450809998025,-0.005261519428635529,-0.0004744743476357261,0.0009665710124507395,-0.8502362127635796,0.4847433289884885,-0.002875569850749306,0.001926621155477854
k15_no_stats_no_fusion,再去冗余单路融合,ric_mean,k15_no_stats_no_fusion_minus_k15_baseline,True,3,0.01955244567684831,0.019554911310972086,2.465634123773273e-06,0.0014150481138595346,0.003017991779518249,0.9978659624064818,-0.0035127087494558717,0.003517640017703418
k15_no_stats_no_fusion,再去冗余单路融合,ric_ir,k15_no_stats_no_fusion_minus_k15_baseline,True,3,0.1917302724211071,0.19209019192829438,0.000359919507187297,0.018413037196632856,0.033856384822681475,0.9760667781155947,-0.045380600580829954,0.04610043959520455
k15_no_stats_no_fusion,再去冗余单路融合,stress_ric_mean,k15_no_stats_no_fusion_minus_k15_baseline,True,3,-0.0047870450809998025,-0.0032204248003114455,0.0015666202806883568,0.003149140464946409,0.86165287084653,0.4796886219723577,-0.006256278307883987,0.009389518869260701
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,ric_mean,k15_no_stats_no_fusion_no_deepsets_minus_k15_baseline,True,3,0.01955244567684831,0.019052925451482877,-0.0004995202253654333,0.0007572248871720893,-1.1425858082561402,0.3715509244177998,-0.002380571123865509,0.0013815306731346424
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,ric_ir,k15_no_stats_no_fusion_no_deepsets_minus_k15_baseline,True,3,0.1917302724211071,0.19016851254291647,-0.0015617598781906272,0.01203479521341865,-0.22476888142081985,0.843034550415769,-0.03145784852103626,0.028334328764655005
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,stress_ric_mean,k15_no_stats_no_fusion_no_deepsets_minus_k15_baseline,True,3,-0.0047870450809998025,-0.004443030686831324,0.0003440143941684788,0.0023133715458127854,0.25756796841100776,0.820819465070922,-0.0054027191040752175,0.006090747892412176
k15_minimal,再把MLP头改为线性96→1,ric_mean,k15_minimal_minus_k15_baseline,True,3,0.01955244567684831,0.01942940569843679,-0.00012303997841151687,0.0006745974840299514,-0.31590911471804883,0.7819915441540117,-0.0017988330287422101,0.0015527530719191764
k15_minimal,再把MLP头改为线性96→1,ric_ir,k15_minimal_minus_k15_baseline,True,3,0.1917302724211071,0.18404434926858246,-0.007685923152524643,0.016627940543766,-0.8006048234418068,0.5073521112609592,-0.04899201732603605,0.033620171020986765
k15_minimal,再把MLP头改为线性96→1,stress_ric_mean,k15_minimal_minus_k15_baseline,True,3,-0.0047870450809998025,-0.004348063303094751,0.000438981777905052,0.002326876545108126,0.32676368006156303,0.7748744682254527,-0.005341299998385362,0.006219263554195466
