addition,metric,mean_paired_delta,positive_seeds,seed_count
P0 statistics + head -> P1 + DeepSets,rank_ic,0.0014461142708036927,2,3
P0 statistics + head -> P1 + DeepSets,rank_ic_ir,0.024601669282893052,3,3
P0 statistics + head -> P1 + DeepSets,long_short_sharpe,0.35212548573811847,3,3
P0 statistics + head -> P1 + DeepSets,stress_ic_ir,0.0150747342660242,2,3
P1 + DeepSets -> P2 + projection/TCN + last,rank_ic,0.010655039657366324,3,3
P1 + DeepSets -> P2 + projection/TCN + last,rank_ic_ir,0.2223196854827311,3,3
P1 + DeepSets -> P2 + projection/TCN + last,long_short_sharpe,1.7180519104003906,3,3
P1 + DeepSets -> P2 + projection/TCN + last,stress_ic_ir,0.09528253616573146,3,3
P2 + projection/TCN + last -> P3 + mean/attention (full),rank_ic,0.0013127931152126192,3,3
P2 + projection/TCN + last -> P3 + mean/attention (full),rank_ic_ir,-0.052607926264120364,0,3
P2 + projection/TCN + last -> P3 + mean/attention (full),long_short_sharpe,-0.969501813252767,0,3
P2 + projection/TCN + last -> P3 + mean/attention (full),stress_ic_ir,0.002622115693397209,2,3
