period,start,end,days,stress_days,rank_ic,rank_ic_ir,long_short_sharpe,stress_ic_ir
full_oos,2025-01-02,2026-08-27,401,101,0.02699870484023439,0.6719080107569975,7.134677648195837,0.544209324231037
block_01,2025-01-02,2025-04-03,60,15,0.020370489995223204,0.4662839400028237,4.580611786224612,0.5832684998008337
block_02,2025-04-07,2025-07-03,60,15,0.033638132919114314,0.8309387179716125,10.363715544965503,0.7755038947362645
block_03,2025-07-04,2025-09-25,60,15,0.034338460376528004,0.7686685824004353,8.635090282628045,1.546995035365727
block_04,2025-09-26,2025-12-26,60,15,0.034055652341376,1.1065675979282343,10.553197597398944,0.6678944169406904
block_05,2025-12-29,2026-04-01,60,15,0.026368281972441957,0.7232973636792882,8.078287047448763,0.6395431734056125
block_06,2026-04-02,2026-07-01,60,15,0.020989100888517468,0.5866166461866908,6.300562338281233,0.34027248413938066
block_07,2026-07-02,2026-08-27,41,11,0.01563106174004717,0.32955148370995463,2.461484761026492,0.2564375822061736
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,52,0.032773935511792925,0.8318472670532937,8.864288845100555,0.8623754936730449
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,92,0.027568442229314236,0.6964591154170267,7.237766001430179,0.5270365354895329
