arm,seed,rank_ic,rank_ic_ir,long_short_sharpe,stress_ic_ir,days,rows
P0 statistics + head,20260801,0.07308079118566178,1.4438378319873642,12.380002975463867,0.9909019546276681,241,242000
P0 statistics + head,20260812,0.07439672789110863,1.541728080262049,12.719663619995117,0.9851476278540249,241,242000
P0 statistics + head,20260823,0.06901974958454063,1.376840001234559,11.622086524963379,0.9064783156544722,241,242000
P1 + DeepSets,20260801,0.07559889813301396,1.454302137254251,12.863924026489258,1.0064875452745667,241,242000
P1 + DeepSets,20260812,0.07327676755340694,1.5442296944641039,12.868659019470215,0.967884259813512,241,242000
P1 + DeepSets,20260823,0.07195994578730122,1.4376790896142964,12.045546531677246,0.953380295846159,241,242000
P2 + projection/TCN + last,20260801,0.08404786983103417,1.6448331248415264,13.785633087158203,1.0578446751605417,241,242000
P2 + projection/TCN + last,20260812,0.08325779334879535,1.693592827851019,14.465130805969238,1.0483736717280872,241,242000
P2 + projection/TCN + last,20260823,0.08549506726599157,1.764744025088299,14.68152141571045,1.1073813625428033,241,242000
P3 + mean/attention (full),20260801,0.08571668872920529,1.5960255100885574,12.769133567810059,1.0838807869828038,241,242000
P3 + mean/attention (full),20260812,0.08468332770453443,1.6563473924462826,13.781763076782227,1.0504634762663987,241,242000
P3 + mean/attention (full),20260823,0.08633909335771922,1.6929732964536435,13.472883224487305,1.0871217932624213,241,242000
