addition,metric,mean_paired_delta,positive_seeds,seed_count
P0 statistics + head -> P1 + DeepSets,rank_ic,0.0006394552484377455,3,3
P0 statistics + head -> P1 + DeepSets,rank_ic_ir,-0.008484775667518929,2,3
P0 statistics + head -> P1 + DeepSets,long_short_sharpe,-0.1777634620666504,1,3
P0 statistics + head -> P1 + DeepSets,stress_ic_ir,0.009815065011702392,2,3
P1 + DeepSets -> P2 + projection/TCN + last,rank_ic,0.002971299863696559,3,3
P1 + DeepSets -> P2 + projection/TCN + last,rank_ic_ir,0.07946576400880823,2,3
P1 + DeepSets -> P2 + projection/TCN + last,long_short_sharpe,1.2146256764729817,2,3
P1 + DeepSets -> P2 + projection/TCN + last,stress_ic_ir,-0.023200023848968725,1,3
P2 + projection/TCN + last -> P3 + mean/attention (full),rank_ic,0.0010765767301895875,3,3
P2 + projection/TCN + last -> P3 + mean/attention (full),rank_ic_ir,0.007086480249495801,2,3
P2 + projection/TCN + last -> P3 + mean/attention (full),long_short_sharpe,0.1277195612589518,2,3
P2 + projection/TCN + last -> P3 + mean/attention (full),stress_ic_ir,0.01977715575949973,3,3
