arm,seed,rank_ic,rank_ic_ir,long_short_sharpe,stress_ic_ir,days,rows
P0 statistics + head,20260801,0.024713381247953844,0.5828530941180946,6.673459053039551,0.3757409793354063,241,242000
P0 statistics + head,20260812,0.020938627479714485,0.5353302396303837,4.811789035797119,0.312696040509584,241,242000
P0 statistics + head,20260823,0.023895551729790736,0.6630321854465913,7.080817222595215,0.4484384918160516,241,242000
P1 + DeepSets,20260801,0.02485658679929213,0.6105959669784499,6.393420696258545,0.390133634269551,241,242000
P1 + DeepSets,20260812,0.022501907282454017,0.5599752529365375,5.314783573150635,0.3635199487248876,241,242000
P1 + DeepSets,20260823,0.024107432121026156,0.5851899722775254,6.324570655822754,0.4126671237017105,241,242000
P2 + projection/TCN + last,20260801,0.025036449582193372,0.5930545773168845,6.168519020080566,0.3137026700203808,241,242000
P2 + projection/TCN + last,20260812,0.02753711735228928,0.6918371857003214,7.228080749511719,0.37169443368328203,241,242000
P2 + projection/TCN + last,20260823,0.027806258859379325,0.7092667212017316,8.280052185058594,0.41132353144558004,241,242000
P3 + mean/attention (full),20260801,0.026190964944245367,0.6024884230945434,6.351593494415283,0.31538701466593616,241,242000
P3 + mean/attention (full),20260812,0.028497342347968937,0.7096985539957104,7.774402618408203,0.4093912977094502,241,242000
P3 + mean/attention (full),20260823,0.028921248692216437,0.7032309478771711,7.933814525604248,0.4312737900523557,241,242000
