block,start,days_total,ic_o2o,n_o2o,ic_o2c,n_o2c
block_00,2023-01-03,20,0.03429186869088735,20,0.030359827242119507,20
block_01,2023-02-07,20,0.06032339686153491,20,0.05544684007573083,20
block_02,2023-03-07,20,0.04028722888584813,20,0.03052184629692071,20
block_03,2023-04-04,20,0.041556490871601966,20,0.04524920255891685,20
block_04,2023-05-08,20,0.033494643631619296,20,0.025649699797287116,20
block_05,2023-06-05,20,0.034333804088288095,20,0.03268890883653543,20
block_06,2023-07-05,20,0.04940257043437297,20,0.053176210426827034,20
block_07,2023-08-02,20,0.04202154030995032,20,0.0364957834256619,20
block_08,2023-08-30,20,0.028464367815001966,20,0.025295346482088733,20
block_09,2023-09-27,20,0.037037208566072136,20,0.034046628220738194,20
block_10,2023-11-02,20,0.033648276249769196,20,0.026134117318933576,20
block_11,2023-11-30,20,0.05382422845459549,20,0.041867713266639336,20
block_12,2023-12-28,2,0.08678766193210136,2,0.080394474780704,2
block_13,2024-01-02,20,0.06418275240785448,20,0.055860910272692355,20
block_14,2024-01-30,20,0.021955406485728947,20,0.003123734730981103,20
block_15,2024-03-06,20,0.04783897465268089,20,0.034645463137998794,20
block_16,2024-04-03,20,0.021249710522524667,20,0.01719390488112884,20
block_17,2024-05-08,20,0.032267716485148666,20,0.03401455061790391,20
block_18,2024-06-05,20,0.0411920190367009,20,0.03759337402693757,20
block_19,2024-07-04,20,0.04746588555987801,20,0.03580775507389268,20
block_20,2024-08-01,20,0.054218376913196434,20,0.04544363624503634,20
block_21,2024-08-29,20,0.03500967149657389,20,0.03073266921798045,20
block_22,2024-09-30,20,0.045297649558325104,20,0.04717655446496978,20
block_23,2024-11-04,20,0.04115835706445286,20,0.03989404471454559,20
block_24,2024-12-02,20,0.026569022932548415,20,0.020681680073723344,20
block_25,2024-12-30,2,,0,-0.012535691356541648,1
