arm,seed,rank_ic,rank_ic_ir,long_short_sharpe,stress_ic_ir,days,rows
Full 17 channels,20260801,0.026190964944245367,0.6024884230945434,6.351593440983724,0.31538701466593616,241,240567
Full 17 channels,20260812,0.028497342347968937,0.7096985539957104,7.774402522214758,0.4093912977094502,241,240567
Full 17 channels,20260823,0.028921248692216437,0.7032309478771711,7.933814516541193,0.4312737900523557,241,240567
Without price-path channels,20260801,0.025616344888949708,0.5919831254540874,6.5099802336752015,0.34860462331464775,241,240567
Without price-path channels,20260812,0.028087228754905616,0.6814456173615083,7.6696871877055575,0.32921590318508237,241,240567
Without price-path channels,20260823,0.027056290270657094,0.6784874729216164,8.512153136318192,0.3907656954940384,241,240567
Without order-book channels,20260801,0.020593863398764713,0.4341784831727939,4.003225511113588,0.27508974538908393,241,240567
Without order-book channels,20260812,0.022611488745759977,0.5210451985557675,5.740567589382789,0.3620689808218768,241,240567
Without order-book channels,20260823,0.01750631154132205,0.37548194379901584,2.3833520486057993,0.18809569558808445,241,240567
Without trading-structure channels,20260801,0.022685414600550978,0.5308781093296998,5.862096325324729,0.3376071354677252,241,240567
Without trading-structure channels,20260812,0.024204766684008738,0.5906269610759314,5.755616811352328,0.4070188259472793,241,240567
Without trading-structure channels,20260823,0.027227776299024842,0.6660042820935621,7.539469075469543,0.49802110012696044,241,240567
Price path and clock only,20260801,0.01834067068981449,0.35368219105921933,3.0279992624543977,0.2278561949656362,241,240567
Price path and clock only,20260812,0.020458597134715498,0.45623960220923265,4.101627363473041,0.41046652057739225,241,240567
Price path and clock only,20260823,0.021543120590045765,0.46132067247225844,4.15328295448109,0.42072820675582323,241,240567
