candidate,block,seed,date,ic_base,ic_aug,delta
mraw,0,20260801,2024-01-02,-0.1371773621482261,-0.1371773621482261,0.0
mraw,0,20260801,2024-01-03,-0.08361934463044954,-0.08361934463044954,0.0
mraw,0,20260801,2024-01-04,0.019113520500574105,0.019113520500574105,0.0
mraw,0,20260801,2024-01-05,-0.12005405325010447,-0.12005405325010447,0.0
mraw,0,20260801,2024-01-08,-0.07016554575778294,-0.07016554575778294,0.0
mraw,0,20260801,2024-01-09,-0.1260860239679082,-0.1260860239679082,0.0
mraw,0,20260801,2024-01-10,-0.13862764105357317,-0.13862764105357317,0.0
mraw,0,20260801,2024-01-11,0.10043381795848934,0.10043381795848934,0.0
mraw,0,20260801,2024-01-12,0.08107527740823195,0.08107527740823195,0.0
mraw,0,20260801,2024-01-15,-0.030141826503354542,-0.030141826503354542,0.0
mraw,0,20260801,2024-01-16,0.02119599066099722,0.02119599066099722,0.0
mraw,0,20260801,2024-01-17,0.07184040051390873,0.07184040051390873,0.0
mraw,0,20260801,2024-01-18,0.07777677580076821,0.07777677580076821,0.0
mraw,0,20260801,2024-01-19,-0.10329250433665398,-0.10329250433665398,0.0
mraw,0,20260801,2024-01-22,-0.02375253729374212,-0.02375253729374212,0.0
mraw,0,20260801,2024-01-23,0.22227149531032522,0.22227149531032522,0.0
mraw,0,20260801,2024-01-24,-0.05099817867912731,-0.05099817867912731,0.0
mraw,0,20260801,2024-01-25,0.07529267136602465,0.07529267136602465,0.0
mraw,0,20260801,2024-01-26,-0.10290828447875539,-0.10290828447875539,0.0
mraw,0,20260801,2024-01-29,-0.06950293902610832,-0.06950293902610832,0.0
mraw,0,20260811,2024-01-02,-0.1726691158434732,-0.1726691158434732,0.0
mraw,0,20260811,2024-01-03,-0.11872271172510211,-0.11872271172510211,0.0
mraw,0,20260811,2024-01-04,-0.02488513902680393,-0.02488513902680393,0.0
mraw,0,20260811,2024-01-05,-0.08170988031736957,-0.08170988031736957,0.0
mraw,0,20260811,2024-01-08,-0.07398568651947869,-0.07398568651947869,0.0
mraw,0,20260811,2024-01-09,-0.1320543396497057,-0.1320543396497057,0.0
mraw,0,20260811,2024-01-10,-0.1723022625449341,-0.1723022625449341,0.0
mraw,0,20260811,2024-01-11,0.08745202108127749,0.08745202108127749,0.0
mraw,0,20260811,2024-01-12,0.055193539468011685,0.055193539468011685,0.0
mraw,0,20260811,2024-01-15,0.02567595279206543,0.02567595279206543,0.0
mraw,0,20260811,2024-01-16,-0.015268923009898768,-0.015268923009898768,0.0
mraw,0,20260811,2024-01-17,0.06996851444709236,0.06996851444709236,0.0
mraw,0,20260811,2024-01-18,0.11742930895445455,0.11742930895445455,0.0
mraw,0,20260811,2024-01-19,-0.09831747904665873,-0.09831747904665873,0.0
mraw,0,20260811,2024-01-22,-0.03087139998821881,-0.03087139998821881,0.0
mraw,0,20260811,2024-01-23,0.18689964609980766,0.18689964609980766,0.0
mraw,0,20260811,2024-01-24,-0.03131955754754535,-0.03131955754754535,0.0
mraw,0,20260811,2024-01-25,0.08010861114796143,0.08010861114796143,0.0
mraw,0,20260811,2024-01-26,-0.08729621341476164,-0.08729621341476164,0.0
mraw,0,20260811,2024-01-29,-0.05564724568355933,-0.05564724568355933,0.0
mraw,0,20260821,2024-01-02,-0.11233009159405835,-0.11233009159405835,0.0
mraw,0,20260821,2024-01-03,-0.06912990816687202,-0.06912990816687202,0.0
mraw,0,20260821,2024-01-04,-0.013617271270933918,-0.013617271270933918,0.0
mraw,0,20260821,2024-01-05,-0.037406004149829884,-0.037406004149829884,0.0
mraw,0,20260821,2024-01-08,-0.04277776961527023,-0.04277776961527023,0.0
mraw,0,20260821,2024-01-09,-0.08735348021777158,-0.08735348021777158,0.0
mraw,0,20260821,2024-01-10,-0.1489837972567182,-0.1489837972567182,0.0
mraw,0,20260821,2024-01-11,0.13484488941951245,0.13484488941951245,0.0
mraw,0,20260821,2024-01-12,0.07806931222336722,0.07806931222336722,0.0
mraw,0,20260821,2024-01-15,-0.02888081360208977,-0.02888081360208977,0.0
mraw,0,20260821,2024-01-16,0.0018246343468281444,0.0018246343468281444,0.0
mraw,0,20260821,2024-01-17,0.07224997319824497,0.07224997319824497,0.0
mraw,0,20260821,2024-01-18,0.0907422879474448,0.0907422879474448,0.0
mraw,0,20260821,2024-01-19,-0.06818668794060667,-0.06818668794060667,0.0
mraw,0,20260821,2024-01-22,-0.0761244651464464,-0.0761244651464464,0.0
mraw,0,20260821,2024-01-23,0.24413038133325848,0.24413038133325848,0.0
mraw,0,20260821,2024-01-24,-0.019548810926222196,-0.019548810926222196,0.0
mraw,0,20260821,2024-01-25,0.1695936187944951,0.1695936187944951,0.0
mraw,0,20260821,2024-01-26,-0.08617746419196874,-0.08617746419196874,0.0
mraw,0,20260821,2024-01-29,-0.08594381397757105,-0.08594381397757105,0.0
mraw,1,20260801,2024-01-30,0.3717098228442984,0.37178508697081736,7.526412651898129e-05
mraw,1,20260801,2024-01-31,-0.0018655016635490634,-0.10285962358229424,-0.10099412191874517
mraw,1,20260801,2024-02-01,0.4306614367909213,0.43443192112146806,0.003770484330546775
mraw,1,20260801,2024-02-02,0.23200560684287128,0.3067891224629534,0.07478351562008215
mraw,1,20260801,2024-02-05,-0.12365331753995669,-0.13092718010129303,-0.0072738625613363445
mraw,1,20260801,2024-02-06,0.03967129628677051,0.04229602374616143,0.0026247274593909214
mraw,1,20260801,2024-02-07,-0.47040014697636034,-0.43791246807217526,0.03248767890418508
mraw,1,20260801,2024-02-08,0.11406543112141057,0.08492040987062026,-0.029145021250790312
mraw,1,20260801,2024-02-19,-0.042970508029059766,-0.052396841224890335,-0.009426333195830569
mraw,1,20260801,2024-02-20,-0.14535910954853393,-0.13712392140525512,0.00823518814327881
mraw,1,20260801,2024-02-21,-0.24318728500508094,-0.23407330043875207,0.009113984566328864
mraw,1,20260801,2024-02-22,-0.3123497482179691,-0.2747760194730272,0.037573728744941914
mraw,1,20260801,2024-02-23,-0.31378668658330244,-0.3076111679414882,0.006175518641814259
mraw,1,20260801,2024-02-26,-0.46759446045569586,-0.4531574610658545,0.014436999389841332
mraw,1,20260801,2024-02-27,0.5283216509261958,0.45918947709786706,-0.0691321738283287
