strategy,strategy_name,cost_bps,phase,days,signal_start,signal_end,entry_start,exit_end,annualized_return,cagr,sharpe,max_drawdown,total_return,average_one_way_turnover,average_traded_nav_ratio,annualized_cost_drag,mean_gross_exposure,max_abs_net_exposure,blocked_trade_name_events,missing_price_held_events,terminal_residual_value
baseline_daily,每日五分位,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.31494333426458687,0.36770731390494893,5.54009150687153,-0.027993260914378926,0.6438499529818436,1.4107119713651537,2.8214239427303074,0.0,2.0010295381879346,0.010920313525435195,192,145,0.0
baseline_daily,每日五分位,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.040761932714444865,-0.041494722310091214,-0.7171343096534868,-0.10735840239552097,-0.0650574309934846,1.4097129012232927,2.8194258024465855,0.3552476511082698,2.0010400433513613,0.010944964276379632,192,145,0.0
baseline_daily,每日五分位,10.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.3959772486322793,-0.32827702985897655,-6.964342955527652,-0.4738350391363372,-0.4682607366684636,1.408741627539311,2.817483255078622,0.7100057802798128,2.001050635611697,0.010969676598157129,192,145,0.0
baseline_daily,每日五分位,20.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-1.1050195414248307,-0.6701395624669946,-19.396667191339176,-0.8280331205096897,-0.8280331205096897,1.4068798263191513,2.8137596526383026,1.418134864929705,2.0010720874003343,0.011037148482495356,192,145,0.0
buffer_20_30,排名缓冲区,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.36673162012986266,0.4403500781802223,6.51232282265431,-0.03051422503196355,0.7845823936878396,1.1639548764557313,2.3279097529114625,0.0,2.001115642326821,0.010863223625698038,180,143,0.0
buffer_20_30,排名缓冲区,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.07314985528540593,0.07418247052779958,1.300289797015178,-0.07179790181907275,0.12028947381593613,1.16326143126223,2.32652286252446,0.293141880678082,2.0011240869561244,0.010895918625701896,180,143,0.0
buffer_20_30,排名缓冲区,10.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.2200946903327446,-0.19890229604061838,-3.9142932933425527,-0.3090853102172254,-0.2967336776676187,1.1625930687156711,2.3251861374313423,0.5859469066326982,2.0011325886945603,0.010928715002196155,180,143,0.0
buffer_20_30,排名缓冲区,20.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.8056505129305519,-0.5544882810344327,-14.320714105668284,-0.7229019028076074,-0.7229019028076074,1.1613339897826305,2.322667979565261,1.1706246617008917,2.001149767637047,0.010994621213096335,180,143,0.0
rebalance_3d,每三日调仓,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.13900386537328988,0.14736216275635305,2.53517357783099,-0.0364816515366857,0.24383489407854353,0.4851383647240748,0.9702767294481496,0.0,2.0033003316348887,0.01925295992888798,100,260,0.005885210391306274
rebalance_3d,每三日调仓,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.016711964303541913,0.015322295693865895,0.30444694071431544,-0.0711500060031871,0.024430305335233937,0.48478302578335514,0.9695660515667103,0.12216532249740551,2.003369846423801,0.019231420159956766,100,260,0.005208051467872663
