strategy,year,days,start,end,start_nav,end_nav,cumulative_gross_return,annualized_gross_return,average_one_way_turnover,max_drawdown,cost_amount
baseline_daily,2025,243,2025-01-02,2025-12-31,1.0,1.413438033706639,0.413438033706639,0.36037503387259645,1.3979036044504993,-0.020698683453170497,0.0
baseline_daily,2026,159,2026-01-05,2026-08-28,1.413438033706639,1.6438499529818427,0.16301522513227207,0.24097034422185903,1.4125274524678162,-0.016205809132006643,0.0
buffer_20_30,2025,243,2025-01-02,2025-12-31,1.0,1.474715994555507,0.47471599455550706,0.4043814276085156,1.1521923479700658,-0.02690462218837164,0.0
buffer_20_30,2026,159,2026-01-05,2026-08-28,1.474715994555507,1.784582393687839,0.21011937232411215,0.30388561070145675,1.1672821456472264,-0.02094978378074941,0.0
rank_mean_5d,2025,243,2025-01-02,2025-12-31,1.0,1.3604458952096385,0.36044589520963854,0.32053011042467244,0.5067599477031345,-0.014492338786717296,0.0
rank_mean_5d,2026,159,2026-01-05,2026-08-28,1.3604458952096385,1.576171139089414,0.15856951359799076,0.23515896461622493,0.526786253859813,-0.03292970994617228,0.0
rebalance_2d,2025,243,2025-01-02,2025-12-31,1.0,1.3878576787820847,0.38785767878208466,0.34145690006072843,0.7086217857871157,-0.026222212929018496,0.0
rebalance_2d,2026,159,2026-01-05,2026-08-28,1.3878576787820847,1.5660056956738853,0.1283618771689432,0.19298684583493844,0.7212102532836335,-0.03265634879711066,0.0
rebalance_5d,2025,243,2025-01-02,2025-12-31,1.0,1.2147032722764644,0.21470327227646435,0.20310282280415687,0.2904597146442119,-0.029655092475853406,0.0
rebalance_5d,2026,159,2026-01-05,2026-08-28,1.2147032722764644,1.275516105720338,0.05006394140184112,0.07868106960872838,0.29370700053336557,-0.04691984711852659,0.0
rank_mean_3d,2025,243,2025-01-02,2025-12-31,1.0,1.4054286645311174,0.40542866453111737,0.3542373681585837,0.713187574826908,-0.016165306103555155,0.0
rank_mean_3d,2026,159,2026-01-05,2026-08-28,1.4054286645311174,1.5838258457628127,0.1269343551429647,0.19098632948094615,0.7388668714441317,-0.03672633880020071,0.0
