strategy,year,days,annualized_return,average_one_way_turnover
baseline_daily,2025,242,-0.028952456799275973,1.4025888301141318
baseline_daily,2026,158,-0.14902951805809622,1.420374793813324
buffer_20_30,2025,242,0.08441688941634046,1.156199784157361
buffer_20_30,2026,158,-0.018613939044016828,1.1739046637847637
rebalance_3d,2025,242,0.020501129733164664,0.47940013743131465
rebalance_3d,2026,158,-0.02011498493551177,0.4929382152336687
partial_50,2025,242,0.11247945276641673,0.7229647276057584
partial_50,2026,158,0.04547177534099411,0.7356778827359386
rebalance_2d,2025,242,0.14370651355193134,0.7109750525720936
rebalance_2d,2026,158,-0.003978310650440233,0.7251838530740726
rebalance_5d,2025,242,0.12125173228485386,0.2914239161873836
rebalance_5d,2026,158,0.0005321473203193101,0.29531718802908613
rank_mean_3d,2025,242,0.15530718556470635,0.7158220080341555
rank_mean_3d,2026,158,-0.010729453006041032,0.7432278305192004
rank_mean_5d,2025,242,0.17673550508674737,0.5086873557104248
rank_mean_5d,2026,158,0.09613128883226771,0.5299189504224223
