date,instrument,reason
2024-01-02,000657.SZ,no_minute_data
2024-01-02,000801.SZ,no_minute_data
2024-01-02,688337.SH,no_minute_data
2024-01-03,000657.SZ,no_minute_data
2024-01-03,000801.SZ,no_minute_data
2024-01-03,688337.SH,no_minute_data
2024-01-04,000657.SZ,no_minute_data
2024-01-04,000801.SZ,no_minute_data
2024-01-04,688337.SH,no_minute_data
2024-01-05,000657.SZ,no_minute_data
2024-01-05,688337.SH,no_minute_data
2024-01-08,000657.SZ,no_minute_data
2024-01-08,688337.SH,no_minute_data
2024-01-09,000657.SZ,no_minute_data
2024-01-11,300765.SZ,no_minute_data
2024-01-12,300765.SZ,no_minute_data
2024-01-15,300765.SZ,no_minute_data
2024-01-16,300765.SZ,no_minute_data
2024-01-17,300765.SZ,no_minute_data
2024-01-18,300765.SZ,no_minute_data
2024-01-19,300765.SZ,no_minute_data
2024-01-22,300765.SZ,no_minute_data
2024-01-23,300765.SZ,no_minute_data
2024-01-24,300765.SZ,no_minute_data
2024-02-02,600729.SH,no_minute_data
2024-02-05,600729.SH,no_minute_data
2024-03-06,000791.SZ,no_minute_data
2024-03-06,688027.SH,no_minute_data
2024-03-07,000791.SZ,no_minute_data
2024-03-07,688027.SH,no_minute_data
2024-03-08,000791.SZ,no_minute_data
2024-03-08,688027.SH,no_minute_data
2024-03-11,000791.SZ,no_minute_data
2024-03-11,301039.SZ,no_minute_data
2024-03-11,688027.SH,no_minute_data
2024-03-12,000791.SZ,no_minute_data
2024-03-13,000791.SZ,no_minute_data
2024-03-14,000791.SZ,no_minute_data
2024-03-15,000791.SZ,no_minute_data
2024-03-18,000791.SZ,no_minute_data
2024-04-25,000989.SZ,no_minute_data
2024-04-29,300208.SZ,no_minute_data
2024-04-29,600777.SH,no_minute_data
2024-04-30,000851.SZ,no_minute_data
2024-04-30,002124.SZ,no_minute_data
2024-04-30,002217.SZ,no_minute_data
2024-04-30,002424.SZ,no_minute_data
2024-04-30,002610.SZ,no_minute_data
2024-04-30,600277.SH,no_minute_data
2024-04-30,600360.SH,no_minute_data
2024-04-30,603363.SH,no_minute_data
2024-05-06,300630.SZ,no_minute_data
2024-05-07,300630.SZ,no_minute_data
2024-05-08,300630.SZ,no_minute_data
2024-05-09,300630.SZ,no_minute_data
2024-05-10,300630.SZ,no_minute_data
2024-05-13,300630.SZ,no_minute_data
2024-05-14,300630.SZ,no_minute_data
2024-05-15,300630.SZ,no_minute_data
2024-05-16,300630.SZ,no_minute_data
2024-05-17,300630.SZ,no_minute_data
2024-05-20,300630.SZ,no_minute_data
2024-05-20,603300.SH,no_minute_data
2024-05-21,300630.SZ,no_minute_data
2024-05-21,603300.SH,no_minute_data
2024-05-22,300630.SZ,no_minute_data
2024-05-23,300630.SZ,no_minute_data
2024-05-24,300630.SZ,no_minute_data
2024-05-27,300630.SZ,no_minute_data
2024-05-28,300630.SZ,no_minute_data
2024-05-29,300630.SZ,no_minute_data
2024-05-29,600179.SH,no_minute_data
2024-05-30,300630.SZ,no_minute_data
2024-05-30,600179.SH,no_minute_data
2024-05-31,300630.SZ,no_minute_data
2024-05-31,600179.SH,no_minute_data
2024-06-03,300630.SZ,no_minute_data
2024-06-03,600179.SH,no_minute_data
2024-06-04,300630.SZ,no_minute_data
2024-06-04,600179.SH,no_minute_data
2024-06-05,300630.SZ,no_minute_data
2024-06-05,600179.SH,no_minute_data
2024-06-06,300630.SZ,no_minute_data
2024-06-06,600179.SH,no_minute_data
2024-06-07,300630.SZ,no_minute_data
2024-06-07,600179.SH,no_minute_data
2024-06-11,300630.SZ,no_minute_data
2024-06-11,600179.SH,no_minute_data
2024-06-12,300630.SZ,no_minute_data
2024-06-12,600179.SH,no_minute_data
2024-06-13,300630.SZ,no_minute_data
2024-06-14,300630.SZ,no_minute_data
2024-06-24,000982.SZ,no_minute_data
2024-06-25,000982.SZ,no_minute_data
2024-06-26,000982.SZ,no_minute_data
2024-06-27,000982.SZ,no_minute_data
2024-06-28,000982.SZ,no_minute_data
2024-07-01,000982.SZ,no_minute_data
2024-07-02,000982.SZ,no_minute_data
2024-07-03,000982.SZ,no_minute_data
2024-07-04,000982.SZ,no_minute_data
2024-07-05,000982.SZ,no_minute_data
2024-07-08,000982.SZ,no_minute_data
2024-07-09,000982.SZ,no_minute_data
2024-07-10,000982.SZ,no_minute_data
2024-07-11,000982.SZ,no_minute_data
2024-07-12,000982.SZ,no_minute_data
2024-07-15,000982.SZ,no_minute_data
2024-07-16,000982.SZ,no_minute_data
2024-07-17,000982.SZ,no_minute_data
2024-07-18,000982.SZ,no_minute_data
2024-07-18,600297.SH,no_minute_data
2024-07-19,000982.SZ,no_minute_data
2024-07-19,600297.SH,no_minute_data
2024-07-22,000982.SZ,no_minute_data
2024-07-22,600297.SH,no_minute_data
