arm,group,depth,kernels,parameters,receptive_field,mean_minutes,peak_gpu_gib,rank_ic,rank_ic_seed_sd,rank_ic_ir,rank_ic_ir_seed_sd,long_short_sharpe,long_short_sharpe_seed_sd,stress_ic_ir,stress_ic_ir_seed_sd,delta_rank_ic,ci_low,ci_high,p_raw,p_holm,positive_seeds,conclusion
baseline,baseline,3,3/15/60,217953,178,31.450031962526392,1.8083090782165527,0.025808932317031675,0.001365609544883137,0.5908599162535677,0.014399226899335841,5.857061386108398,0.12237029206263168,0.3322327049437743,0.042740462049438814,0.0,,,,,,重新训练的配对基线
depth1,depth,1,3/15/60,147105,60,27.884602292937537,0.9611296653747559,0.025802228604706035,0.001020643314730275,0.599468342415963,0.019810660128457943,5.866453488667806,0.17933411300224153,0.357756310862912,0.02100304685682852,-6.70371232563876e-06,-0.0010122576056115432,0.0012470910006842197,0.9898010198980102,1.0,1.0,现有实验不足以区分
depth2,depth,2,3/15/60,182529,119,29.59740046908329,1.384650707244873,0.025501758426542592,0.0018440995283244283,0.5961985100257897,0.018080878793093537,5.766722838083903,0.523267943161121,0.33748659530285763,0.055112370176826735,-0.00030717389048908134,-0.001165998155573975,0.0005038522601281464,0.47035296470352966,1.0,1.0,现有实验不足以区分
depth4,depth,4,3/15/60,253377,237,32.7383011570666,2.2320704460144043,0.02391467709198483,0.0016621518008286245,0.564765177162292,0.034278975495514154,5.261344909667969,0.940783525338165,0.3131171377577405,0.0525333076255613,-0.0018942552250468439,-0.0030671505717488595,-0.0008318632083147561,0.0005999400059994001,0.008399160083991601,0.0,在本协议下支持该配置降低 RankIC
single15,branches,3,15,144513,43,27.296061470583343,1.2595858573913574,0.026187627611007205,0.0024110477882030613,0.6026679216444023,0.03633757630671544,6.306771755218506,1.276194060159501,0.3344418660062927,0.072266668547213,0.0003786952939755309,-0.0013658251479656768,0.0020589359669208936,0.6656334366563343,1.0,2.0,现有实验不足以区分
single60,branches,3,60,157473,178,29.608211016966703,1.2838916778564453,0.02424520141980298,0.0018228010644650108,0.5932055164917099,0.034973494820794815,6.399224917093913,0.7195723219607503,0.3093923586856524,0.037736251694987906,-0.00156373089722869,-0.002983826554628669,-0.00016941322360111317,0.030496950304969503,0.3354664533546645,0.0,现有实验不足以区分
branches2,branches,3,15/60,189441,178,30.405717866067103,1.5493144989013672,0.024849320840775586,0.0016893365428592147,0.5943342335519067,0.03440735671319639,6.061350027720134,0.7817679926107767,0.317911576864451,0.03180613380875097,-0.0009596114762560808,-0.0022292889546187506,0.0001310118174479,0.11758824117588242,1.0,1.0,现有实验不足以区分
branches4,branches,3,3/9/15/60,248193,178,31.654445855704964,2.0705957412719727,0.025351487897122316,0.0012451081963311677,0.5885338044524263,0.059456881491802366,5.595221519470215,1.1273779543997857,0.3446416625944886,0.0488182400377285,-0.0004574444199093515,-0.0013812154490832073,0.0002937225915161195,0.292970702929707,1.0,2.0,现有实验不足以区分
branches5,branches,3,3/9/15/30/60,284481,178,33.431229656373354,2.354703903198242,0.0242637111509163,0.0015461228150765046,0.5728766890704332,0.015794389923463433,5.544022878011067,0.3341497628314997,0.3087427243894238,0.029873185799168634,-0.0015452211661153715,-0.00284935433927411,-0.00041179589574307657,0.014098590140985901,0.1832816718328167,0.0,现有实验不足以区分
kernels_2_10_45,kernels,3,2/10/45,211905,133,29.86908944443308,1.7969088554382324,0.025755895726487076,0.0013721865291040653,0.5932740849917802,0.005110950301939049,5.612328847249349,0.22843783839425996,0.35365952977177645,0.03026607477425798,-5.303659054459822e-05,-0.0008206862043627384,0.0008172340200584649,0.8946105389461054,1.0,2.0,现有实验不足以区分
kernels_5_30_120,kernels,3,5/30/120,240129,358,34.967343144262365,1.850684642791748,0.025792727385734154,0.001566261169871296,0.6307616162742776,0.030809917573900107,5.977392832438151,0.3819620685205472,0.3557286792126452,0.07414686215121877,-1.620493129751841e-05,-0.001384037031272226,0.0015491961094095976,0.9821017898210179,1.0,2.0,现有实验不足以区分
kernels_5_60_120,kernels,3,5/60/120,248769,358,36.08007562035669,1.8668041229248047,0.024693051454986705,0.0013684098527282432,0.6080180930908877,0.034522822281715715,5.697236061096191,0.33156978552145766,0.331508254081187,0.07695392383215954,-0.0011158808620449726,-0.0024711126714188603,0.0004901145988983657,0.1426857314268573,1.0,0.0,现有实验不足以区分
same_scale60,controls,3,60/60/60,247329,178,36.00712415943336,1.8636159896850586,0.024349916833858093,0.0011775130102090032,0.5900766520600488,0.02456329620401499,5.439590930938721,0.5607584436378588,0.3009251825744553,0.02892863169624308,-0.0014590154831735796,-0.002720095154315438,-0.0003859397760635554,0.0143985601439856,0.1832816718328167,0.0,现有实验不足以区分
rf179_depth2,controls,2,4/22/90,189825,179,30.115812075845636,1.398859977722168,0.025867535706897347,0.001930168125939385,0.6072626293887676,0.020323350351718672,5.8734056154886884,0.6713642915894048,0.3416874654741553,0.04157824412720554,5.8603389865677286e-05,-0.0011517132921219364,0.0014044374725659925,0.9291070892910709,1.0,2.0,现有实验不足以区分
rf177_depth4,controls,4,2/11/45,245697,177,31.912659226789966,2.217611789703369,0.026301592144396164,0.001423346469509177,0.6185315754058092,0.010179309920293223,6.568811098734538,0.58884146117409,0.36249808578169684,0.04782284491082201,0.0004926598273644903,-0.0005497861798559254,0.0014701372541325137,0.33926607339266074,1.0,3.0,现有实验不足以区分
