seed_tag,arm,startup_through_training_seconds,startup_through_factor_write_seconds,rank_ic,parameter_count,peak_cuda_allocated_bytes
seed1,baseline,1819.7797794500366,1919.568465705961,0.024257485466831163,217953,1941624320
seed1,branches2,1736.6189516319428,1830.1807459089905,0.023183787992686233,189441,1663531008
seed1,branches4,1785.5477306139655,1878.6688951170072,0.024691949811739257,248193,2223252480
seed1,branches5,1878.4023608739953,1972.1875323581044,0.022706869817549758,284481,2528344064
seed1,depth1,1581.781583899865,1676.3477946058847,0.02467528099115044,147105,1032005120
seed1,depth2,1658.4196226219647,1751.022663359996,0.02337826395888181,182529,1486757376
seed1,depth4,1867.0507017159835,1963.84718877892,0.022203222388126755,253377,2396491264
seed1,kernels_2_10_45,1678.43932911288,1776.2084468109533,0.02427562321890741,211905,1929383424
seed1,kernels_5_30_120,2014.8508025070187,2112.1484382511117,0.024498701439603345,240129,1987124736
seed1,kernels_5_60_120,2086.7132561570033,2177.6086835670285,0.02368365027006954,248769,2004465664
seed1,rf177_depth4,1850.9605563920923,1950.7801706250757,0.024681788084032482,245697,2381142528
seed1,rf179_depth2,1700.2662340251263,1790.7644465300255,0.023654430695967833,189825,1501449728
seed1,same_scale60,2060.290303163929,2160.9866874329746,0.023008732205453863,247329,2001009664
seed1,single15,1540.5780192569364,1634.6352334069088,0.023403661602904628,144513,1352437248
seed1,single60,1679.5639172219671,1771.924799283035,0.022232554709419518,157473,1378535424
seed2,baseline,1784.5136695990805,1878.6574186380021,0.026340424433065886,217953,1941648896
seed2,branches2,1740.712385039078,1836.7532195281237,0.026561495136055817,189441,1663555584
seed2,branches4,1840.3414149158634,1937.03739072592,0.0267876255745907,248193,2223277056
seed2,branches5,1937.0061048499774,2039.3937615479808,0.02579888775998867,284481,2528216576
seed2,depth1,1575.2848386128899,1670.70665366482,0.026067031048394546,147105,1031972352
seed2,depth2,1685.9321027689148,1779.4028004610445,0.026426460030282376,182529,1486667264
seed2,depth4,1870.0126518050674,1963.0563232440036,0.024018114136599343,253377,2396659200
seed2,kernels_2_10_45,1728.2648617150262,1826.924346748041,0.026006653958567185,211905,1929408000
seed2,kernels_5_30_120,2029.2780275121331,2122.727879986167,0.02753395089169613,240129,1987149312
seed2,kernels_5_60_120,2078.6612175609916,2172.140774090076,0.026250547118178237,248769,2004318208
seed2,rf177_depth4,1851.2845111179631,1950.1240147540811,0.027352515494768224,245697,2380989952
seed2,rf179_depth2,1780.180346131092,1876.5841576871462,0.026745672686748465,189825,1501474304
seed2,same_scale60,2109.1558889159933,2208.8603677940555,0.02521404140276371,247329,2001034240
seed2,single15,1573.3551221070811,1663.6178215420805,0.027562250134191495,144513,1352461824
seed2,single60,1691.667256875895,1790.1938632789534,0.025784951091370033,157473,1378560000
seed3,baseline,1770.3622994008474,1862.7798689107876,0.026828887051197972,217953,1941657088
seed3,branches2,1715.4467412449885,1806.0952504549641,0.02480267939358472,189441,1663563776
seed3,branches4,1795.5553770770784,1882.0939681839664,0.024574888305037006,248193,2223285248
seed3,depth1,1580.224268435035,1672.173964458052,0.026664373774573123,147105,1031980544
seed3,depth2,1703.526809916133,1797.1066206139512,0.02670055129046358,182529,1486675456
seed3,depth4,1870.986767549999,1965.990696249064,0.025522694751228397,253377,2396667392
seed3,single15,1525.3677191201132,1615.038009756012,0.027596971095925488,144513,1352470016
seed3,single60,1675.310068772873,1767.359320492018,0.024718098458619393,157473,1378568192
