arm,mean_startup_through_training_minutes,mean_total_minutes,peak_gpu_allocated_gib,peak_gpu_reserved_gib,parameters
baseline,29.859198602499802,31.450031962526392,1.8083090782165527,2.40234375,217953
depth1,26.31828161637661,27.884602292937537,0.9611296653747559,1.314453125,147105
depth2,28.043769640594515,29.59740046908329,1.384650707244873,1.904296875,182529
depth4,31.15583400595028,32.7383011570666,2.2320704460144043,2.9921875,253377
single15,25.77389366935628,27.296061470583343,1.2595858573913574,1.435546875,144513
single60,28.036340238170748,29.608211016966703,1.2838916778564453,1.482421875,157473
branches2,28.848767099533386,30.405717866067103,1.5493144989013672,1.861328125,189441
branches4,30.119136236705042,31.654445855704964,2.0705957412719727,2.861328125,248193
branches5,31.811212206267133,33.431229656373354,2.354703903198242,3.08984375,284481
kernels_2_10_45,28.270988968560577,29.86908944443308,1.7969088554382324,2.35546875,211905
kernels_5_30_120,33.36914803527761,34.967343144262365,1.850684642791748,2.453125,240129
kernels_5_60_120,34.543639278371764,36.08007562035669,1.8668041229248047,2.38671875,248769
same_scale60,34.3771423731051,36.00712415943336,1.8636159896850586,2.26171875,247329
rf179_depth2,28.58011228410113,30.115812075845636,1.398859977722168,1.93359375,189825
rf177_depth4,30.31273628026247,31.912659226789966,2.217611789703369,2.849609375,245697
