block,start,ic
0,2023-01-03,0.0411078135
1,2023-02-07,0.08545263
2,2023-03-07,0.022173939
3,2023-04-04,0.0826360614
4,2023-05-08,0.0061242968
5,2023-06-05,0.0426099283
6,2023-07-05,0.0908314316
7,2023-08-02,0.0479984726
8,2023-08-30,0.036716375
9,2023-09-27,0.0358943464
10,2023-11-02,0.0281022216
11,2023-11-30,0.061345547
12,2023-12-28,0.0651022509
13,2024-01-02,0.1012417479
14,2024-01-30,-0.0272747518
15,2024-03-06,0.0499152417
16,2024-04-03,0.0210464212
17,2024-05-08,0.0410108326
18,2024-06-05,0.0571513604
19,2024-07-04,0.0265373839
20,2024-08-01,0.0766715264
21,2024-08-29,0.0335610542
22,2024-09-30,0.0550462145
23,2024-11-04,0.0387217022
24,2024-12-02,0.0346462311
25,2024-12-30,0.1017914776
