config,ic_mean,delta_vs_baseline,drop_pct
group_trade(6),0.02895496978799358,-0.01654376535766638,36.360934660497826
group_price(3),0.03078687339628553,-0.01471186174937443,32.334660957663495
group_book(5),0.03386162462810212,-0.011637110517557843,25.576778080319635
minute_log_return,0.03788774622479795,-0.007610988920862011,16.727913196918855
relative_spread,0.0407206579201159,-0.004778077225544061,10.501560560414465
depth_imbalance_l3,0.04080785798872501,-0.004690877156934954,10.309906730192713
log_deal_number,0.04282404455406931,-0.002674690591590652,5.878604279938506
log_amount_per_deal,0.0429438294368874,-0.0025549057087725646,5.615333482553464
bar_range,0.04329618903314639,-0.0022025461125135745,4.840895258873303
log_amount,0.04332646393055214,-0.002172271215107824,4.774355173069098
signed_log_amount,0.04431534654940791,-0.0011833885962520552,2.6009263608395856
log_volume,0.044822524656640106,-0.0006762104890198559,1.4862182143196532
close_location,0.04499163986063778,-0.0005070952850221785,1.114526114624418
log_volume_per_deal,0.04537645035198588,-0.00012228479367408507,0.26876525969920195
time_sin,0.04549873514565996,0.0,0.0
baseline,0.04549873514565996,0.0,0.0
time_cos,0.04549873514565996,0.0,0.0
group_clock(3),0.04549873514565996,0.0,0.0
pm_session,0.04549873514565996,0.0,0.0
depth_shape,0.04573284103390331,0.00023410588824334527,-0.5145327391934679
depth_imbalance_l1,0.04620782324589126,0.000709088100231299,-1.558478709267894
microprice_gap,0.047213731232096275,0.0017149960864363128,-3.7693269514985692
