block,train_start,train_end,prediction_start,prediction_end,prediction_days,rank_ic_mean,train_rows,nonzero_features,coefficient_l1,iterations
0,2020-09-30,2020-12-30,2021-01-04,2021-01-29,20,0.045884607635778646,59922,303,1.635270118713379,542
1,2020-11-05,2021-01-28,2021-02-01,2021-03-05,20,0.02573688729099851,59920,302,1.5064141750335693,412
2,2020-12-03,2021-03-04,2021-03-08,2021-04-02,20,0.030197572551047564,59892,307,1.5929479598999023,431
3,2020-12-31,2021-04-01,2021-04-06,2021-05-06,20,0.042545876651088506,59893,304,1.5495965480804443,755
4,2021-01-29,2021-04-30,2021-05-07,2021-06-03,20,0.03107949267692946,59879,299,1.6874945163726807,305
5,2021-03-05,2021-06-02,2021-06-04,2021-07-02,20,0.04826860137412854,59885,290,1.5882840156555176,575
6,2021-04-02,2021-07-01,2021-07-05,2021-07-30,20,0.045018021754963375,59886,295,1.414614200592041,367
7,2021-05-06,2021-07-29,2021-08-02,2021-08-27,20,0.05485704290950637,59886,311,1.6385695934295654,455
8,2021-06-03,2021-08-26,2021-08-30,2021-09-28,20,0.03472168594606094,59907,309,1.8937708139419556,544
9,2021-07-02,2021-09-27,2021-09-29,2021-11-02,20,-0.02116951890886782,59922,324,1.8281214237213135,674
10,2021-07-30,2021-11-01,2021-11-03,2021-11-30,20,0.026610478670564746,59950,300,1.7268331050872803,559
11,2021-08-27,2021-11-29,2021-12-01,2021-12-28,20,0.03015936320097312,59938,307,1.708554744720459,524
12,2021-09-28,2021-12-27,2021-12-29,2021-12-31,3,0.054144785185644896,59967,309,1.639542579650879,597
