candidate_id,feature,single_factor_passed,screened15_incremental_passed,enters_self_factor_composite,enters_joint_elastic_net,tree_incremental_passed,enters_joint_lightgbm,route_count,status
FR-001,self__FR-001,False,False,False,False,False,False,0,rejected
FR-002,self__FR-002,True,True,True,True,True,True,3,admitted
FR-003,self__FR-003,False,False,False,False,False,False,0,rejected
FR-004,self__FR-004,True,True,True,True,True,True,3,admitted
FR-005,self__FR-005,True,True,True,True,False,False,2,admitted
FR-006,self__FR-006,True,True,True,True,False,False,2,admitted
FR-008,self__FR-008,False,False,False,False,False,False,0,rejected
FR-009,self__FR-009,False,False,False,False,False,False,0,rejected
FR-010,self__FR-010,False,False,False,False,False,False,0,rejected
FR-011,self__FR-011,False,False,False,False,True,True,1,admitted
HF-001,self__HF-001,False,False,False,False,False,False,0,rejected
HF-002,self__HF-002,False,False,False,False,True,True,1,admitted
OB-001,self__OB-001,False,True,False,True,False,False,1,admitted
OB-002,self__OB-002,False,False,False,False,False,False,0,rejected
PV-001,self__PV-001,False,False,False,False,True,True,1,admitted
PV-002,self__PV-002,False,False,False,False,True,True,1,admitted
PV-003,self__PV-003,True,False,True,False,True,True,2,admitted
PV-004,self__PV-004,False,False,False,False,False,False,0,rejected
PV-005,self__PV-005,False,False,False,False,False,False,0,rejected
PV-006,self__PV-006,False,False,False,False,True,True,1,admitted
PV-008,self__PV-008,False,True,False,True,False,False,1,admitted
PV-009,self__PV-009,True,True,True,True,False,False,2,admitted
PV-010,self__PV-010,False,False,False,False,False,False,0,rejected
PV-011,self__PV-011,True,True,True,True,False,False,2,admitted
PV-013,self__PV-013,False,True,False,True,False,False,1,admitted
PV-014,self__PV-014,True,True,True,True,True,True,3,admitted
PV-015,self__PV-015,False,False,False,False,False,False,0,rejected
PV-016,self__PV-016,False,False,False,False,False,False,0,rejected
PV-017,self__PV-017,False,False,False,False,False,False,0,rejected
PV-018,self__PV-018,False,False,False,False,False,False,0,rejected
PV-019,self__PV-019,False,True,False,True,False,False,1,admitted
