candidate,baseline_oos_rank_ic,augmented_oos_rank_ic,oos_rank_ic_increment,positive_increment_day_ratio,positive_years,candidate_min_nonzero_window_ratio,candidate_min_positive_weight_ratio,candidate_max_abs_rank_correlation,oos_days,windows,availability_group,active_days,evaluation_years,evaluation_protocol,evaluation_cache_key,cache_hit,feature,benchmark,passed
self__FR-001,0.05875120203481047,0.05873647270706317,-1.472932774729957e-05,0.041791044776119404,0.0,0.11764705882352941,1.0,0.11411875473519677,670.0,34.0,8fa2687e8c1e,730,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",8fa2687e8c1eb0a4364b4668f2b1b364590527cd1bfa34532ee9bbb669ad4b6c,True,self__FR-001,factorlib_screened15,False
self__FR-002,0.05875120203481047,0.06002887912536332,0.0012776770905528478,0.5567164179104478,3.0,0.9411764705882353,1.0,0.16041983815309221,670.0,34.0,7f0059f40862,730,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",7f0059f40862f4d608168332b13e2ba0903c16ab9676e5df8ad31f0ffbc26ed3,True,self__FR-002,factorlib_screened15,True
self__FR-003,0.05956447104284929,0.05943347906197859,-0.00013099198087069414,0.03536977491961415,0.0,0.09375,1.0,0.37144601143468386,622.0,32.0,2a8486c8572a,682,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",2a8486c8572a3982629ed981312f6411402e356de3af1217b0fae879b58e1ae3,True,self__FR-003,factorlib_screened15,False
self__FR-004,0.05956447104284929,0.05940953683374233,-0.00015493420910695638,0.44855305466237944,2.0,0.84375,1.0,0.31030479383422216,622.0,32.0,a8c9ea41a055,682,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",a8c9ea41a0553afd8151b8c368a75b8cfd92bb9f13c4dfdb7e8a713f80ff473e,True,self__FR-004,factorlib_screened15,False
self__FR-005,0.05875120203481047,0.05885978672653025,0.00010858469171978052,0.3373134328358209,3.0,0.6470588235294118,1.0,0.2294225447690795,670.0,34.0,ead12761d7f1,730,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",ead12761d7f102f9e108de97d50eec713a3e67dc4c0c0f25a9131a30a86f781c,True,self__FR-005,factorlib_screened15,True
self__FR-006,0.05956447104284929,0.059474803259783236,-8.966778306605111e-05,0.477491961414791,2.0,0.875,1.0,0.44375757889657846,622.0,32.0,5c530a3311ee,682,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",5c530a3311eed1d85d35d0203d7c963c0601d48834ce74d5a12dcf2014f9a3c9,True,self__FR-006,factorlib_screened15,False
self__FR-008,,,,0.0,0.0,0.0,0.0,0.12001114224719411,0.0,0.0,3406fb24b714,50,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",3406fb24b71497bf9146b89066f9481b96602e14b68771f3141d8dc4922ac150,True,self__FR-008,factorlib_screened15,False
self__FR-009,,,,0.0,0.0,0.0,0.0,,0.0,0.0,a8da90c5e2b1,0,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",a8da90c5e2b1ffc079a0f45d3cf16d1368fb7cb08c9b320a9915faf1872d0330,True,self__FR-009,factorlib_screened15,False
self__FR-010,0.05875120203481047,0.058748586452726355,-2.6155820841144983e-06,0.29253731343283584,1.0,0.5882352941176471,1.0,0.3485892521501366,670.0,34.0,0f3e887f8198,730,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",0f3e887f8198b55ae121db3efdf88095cefcd5f376714298183a69ef4c1006b4,True,self__FR-010,factorlib_screened15,False
self__FR-011,0.05875120203481047,0.0578479047916815,-0.0009032972431289726,0.09104477611940298,1.0,0.20588235294117646,1.0,0.5384410867646575,670.0,34.0,c8c23cb8ffc9,730,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",c8c23cb8ffc9243f44d6b3248e5c12009217aa61a39d08df0daccbe4d48aa798,True,self__FR-011,factorlib_screened15,False
self__FR-012,0.051732781057591944,0.05182527135976665,9.24903021747095e-05,0.5175202156334232,1.0,0.9473684210526315,1.0,0.16363267436494164,371.0,19.0,495a6917aea9,431,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",495a6917aea9280e135ff38088661570f4b720157e36c86477ea8ae178ba9557,True,self__FR-012,factorlib_screened15,True
self__FR-013,0.06603028516988195,0.06603028516988195,0.0,0.0,0.0,0.0,0.0,0.039166883174556445,108.0,6.0,2912568cd458,168,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",2912568cd458ae1e2631dda5336abf42c463e6595cc163e2f141a8c501b54240,True,self__FR-013,factorlib_screened15,False
self__FR-014,0.05875120203481047,0.058827198061166965,7.599602635649516e-05,0.23134328358208955,2.0,0.4411764705882353,1.0,0.5358610625630447,670.0,34.0,a2e2754a7005,730,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",a2e2754a7005a23cd0527a6f378da8b7606e67b6c903fb01989c131780b7fb58,True,self__FR-014,factorlib_screened15,False
self__FR-015,0.05956447104284929,0.05966814897872434,0.00010367793587505447,0.5160771704180064,2.0,0.90625,1.0,0.39510723896009536,622.0,32.0,e79325f5ffab,682,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",e79325f5ffab2012569a6416b23e17656e02cd05c398a87a2b74fd05acbba6dd,True,self__FR-015,factorlib_screened15,True
self__HF-001,0.05875120203481047,0.05872939790951542,-2.180412529505238e-05,0.22835820895522388,2.0,0.4411764705882353,1.0,0.1482996938304654,670.0,34.0,526d6c870797,730,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",526d6c87079713e030c8d79439ca81a00a82a33a5be49900640ce9e2e0803c46,True,self__HF-001,factorlib_screened15,False
self__HF-002,0.05875120203481047,0.05856046036728848,-0.0001907416675219903,0.041791044776119404,0.0,0.11764705882352941,1.0,0.37671229024407726,670.0,34.0,4b98d8c69ee6,730,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",4b98d8c69ee6368f3fe8898e5afac4bd64e40a5bca2896bc3ba62bcbdd5b334e,True,self__HF-002,factorlib_screened15,False
self__HF-003,0.05892278239265408,0.05917293633849113,0.00025015394583705053,0.5074850299401198,1.0,0.8529411764705882,1.0,0.6015948498205334,668.0,34.0,35d7df99e333,728,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",35d7df99e3338ffefd158a561b0113538b2a684e52b94ee9e117b352a403ed6f,True,self__HF-003,factorlib_screened15,True
self__HF-004,0.05901662467503168,0.058338444937812414,-0.0006781797372192658,0.259375,0.0,0.5625,1.0,0.18365259951596916,640.0,32.0,054d74df3f09,700,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",054d74df3f09aac5f25b5e17778a20ad66df22d4975edce4c81af322d29c2e28,True,self__HF-004,factorlib_screened15,False
self__INT-002,0.07486734625015319,0.07448965458833615,-0.00037769166181704505,0.4381625441696113,1.0,0.8666666666666667,1.0,0.07422284107954151,283.0,15.0,440883de866d,343,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",440883de866d5ff38d4c9f11384281d64be7c08aa4bdf81500710a6332d416d6,True,self__INT-002,factorlib_screened15,False
self__INT-003,0.06273814104413783,0.06241875344264423,-0.0003193876014936023,0.0782122905027933,0.0,0.2222222222222222,1.0,0.12492512494838146,179.0,9.0,f6226fb5630d,239,"2019,2020,2021","screened15_incremental_v5_rank_positive_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|admission=ordered_forward_v1",f6226fb5630d423f371a078d6e6bf56b815ef68b59e34667945a5130602ebd8e,True,self__INT-003,factorlib_screened15,False
