candidate_id,factor_coverage,minimum_daily_unique_values,eligible_days,excluded_sparse_days
PV-001,1.0,1.0,1204.0,10.0
PV-002,1.0,71.0,1214.0,0.0
PV-003,1.0,1.0,1205.0,9.0
PV-004,1.0,1.0,1205.0,9.0
PV-005,1.0,1.0,1205.0,9.0
PV-006,1.0,1.0,1204.0,10.0
PV-007,1.0,1.0,0.0,1214.0
PV-008,1.0,1.0,1015.0,199.0
PV-009,1.0,1.0,1011.0,203.0
PV-010,1.0,1.0,1015.0,199.0
PV-011,1.0,1.0,962.0,252.0
PV-012,1.0,1.0,0.0,1214.0
PV-013,1.0,1.0,962.0,252.0
PV-014,1.0,1.0,1200.0,14.0
PV-015,1.0,1.0,729.0,485.0
PV-017,1.0,1.0,611.0,603.0
PV-018,1.0,1.0,458.0,756.0
PV-019,1.0,1.0,815.0,399.0
PV-020,1.0,1.0,1204.0,10.0
PV-021,1.0,1.0,1144.0,70.0
PV-016,1.0,1.0,729.0,485.0
FR-001,1.0,870.0,1214.0,0.0
FR-002,1.0,722.0,1214.0,0.0
FR-003,1.0,9.0,1166.0,48.0
FR-004,1.0,9.0,1166.0,48.0
FR-005,1.0,915.0,1214.0,0.0
FR-006,1.0,9.0,1166.0,48.0
FR-007,1.0,6.0,0.0,1214.0
FR-008,1.0,1.0,534.0,680.0
FR-009,1.0,1.0,196.0,1018.0
FR-010,1.0,889.0,1214.0,0.0
FR-011,1.0,999.0,1214.0,0.0
FR-012,1.0,1.0,915.0,299.0
FR-013,1.0,1.0,310.0,904.0
INT-002,1.0,1.0,564.0,650.0
HF-001,1.0,269.0,1214.0,0.0
HF-002,1.0,816.0,1214.0,0.0
OB-001,1.0,295.0,1214.0,0.0
OB-002,1.0,340.0,1214.0,0.0
OB-003,1.0,283.0,1214.0,0.0
