candidate_id,rank_ic_mean,rank_ic_std,rank_ic_t,rank_ic_abs_mean,positive_day_share,n_days,finite_rows,rank_ic_mean_abs_rank
HF-043,0.06155693851207008,0.11793378147249009,14.102633458424885,0.10602498427768056,0.726027397260274,730,728662,1
HF-038,-0.05890841795884735,0.09532980136190006,-16.695910249772297,0.09046772435668389,0.25068493150684934,730,728662,2
HF-063,0.055804161912488395,0.08610874148858,17.50978358094633,0.08368935371188056,0.7575342465753425,730,728662,3
HF-077,0.05381279266494929,0.11586438072005277,12.427738235682387,0.10334979243899223,0.6843575418994413,716,728662,4
HF-078,0.05336018835108904,0.11529732605169134,12.383819966079912,0.10280095569402946,0.6899441340782123,716,728662,5
HF-051,0.052509825104241355,0.1006600581737101,13.9585371217865,0.0920474359799565,0.7164804469273743,716,728662,6
HF-046,0.052450634275733085,0.09959256455946773,14.092250021688168,0.09183786809960666,0.7164804469273743,716,728662,7
INT-012,0.051936205341638175,0.10250629190063498,13.55739354319227,0.09163912541924223,0.7011173184357542,716,728662,8
HF-050,0.051202847132584654,0.12347342164766656,11.096273136383022,0.10723520567287803,0.6675977653631285,716,728662,9
HF-072,0.051055983138955485,0.12343935749578103,11.067499270614114,0.10807678897307683,0.6675977653631285,716,728662,10
HF-074,0.05090982598780488,0.1119236137563483,12.171284097332606,0.09946438374737411,0.6829608938547486,716,728662,11
HF-073,0.04982309484380795,0.1029768142387386,12.94636240711208,0.09189466837395523,0.6829608938547486,716,728662,12
HF-042,0.04982224348001032,0.12038661303103516,11.073925432043497,0.10455581673193237,0.664804469273743,716,728662,13
PV-044,0.04873574891166007,0.13360793496120482,9.760496357266632,0.11409344234616269,0.6508379888268156,716,728662,14
HF-066,0.04778577162606672,0.11369667354614643,11.246240218834439,0.09927160497923365,0.6815642458100558,716,728662,15
PV-041,0.04706825912823962,0.15290654797255404,8.236800801227917,0.12849380237971209,0.6145251396648045,716,728662,16
PV-038,0.045582274245219524,0.1795842100268676,6.791791612198928,0.15028520570999288,0.5810055865921788,716,728662,17
HF-041,0.04539495020368527,0.10438279530870606,11.6368418571187,0.09176885077962695,0.6815642458100558,716,728662,18
HF-061,-0.04522944797705832,0.08520416817820037,-14.204205847285392,0.07807745475258038,0.2918994413407821,716,728662,19
PV-042,0.04496094988186799,0.08329843497311509,14.583442918820325,0.07605559101404154,0.7109589041095891,730,728662,20
PV-033,0.04492992286978607,0.13028582824118393,9.22773270467673,0.11072692407245609,0.6229050279329609,716,728662,21
HF-076,0.04465850199661252,0.10003999205245115,11.945023646234308,0.0889961902288163,0.6885474860335196,716,728662,22
HF-058,-0.04454262710327091,0.08068701881091897,-14.771638454030647,0.07440659843418274,0.2737430167597765,716,728662,23
HF-064,0.044405963447578516,0.1415137986005643,8.396514059852981,0.11989492942256431,0.63268156424581,716,728662,24
INT-011,0.04439744790630024,0.09191472170591863,12.924966939015977,0.08065150727955851,0.696927374301676,716,728662,25
PV-040,0.043654444354999856,0.1078757215542591,10.828324505230304,0.09294898057968545,0.6787709497206704,716,728662,26
HF-075,0.04325626983810161,0.08583809355559145,13.615400863817657,0.07708008136730507,0.7424657534246575,730,728662,27
HF-047,0.043031680438308795,0.07680343931632981,14.992157939620927,0.07189854216563726,0.7094972067039106,716,728662,28
HF-040,-0.04253173477881739,0.08787508062140506,-13.077020080103127,0.07778556891682475,0.28356164383561644,730,728662,29
HF-055,-0.04234450926294978,0.13487412703696025,-8.400883623538668,0.11227610478098034,0.388268156424581,716,728662,30
HF-069,0.04205500308587514,0.08393294712527939,13.407311744363874,0.07498045729386173,0.6829608938547486,716,728662,31
HF-071,0.039700121046750955,0.08319851273658313,12.768291210665085,0.0736219280823128,0.6871508379888268,716,728662,32
HF-056,-0.03908775716611194,0.12459011696383743,-8.39486408482982,0.10440368802716979,0.3729050279329609,716,728662,33
INT-014,0.039064322457473946,0.11865050466096005,8.809823701513888,0.09965749998145643,0.6340782122905028,716,728662,34
