feature,raw_development_rank_ic,frozen_direction
factorlib__close,-0.00307390533909155,-1.0
factorlib__volume,-0.04612672632690368,-1.0
factorlib__amount,-0.05361921585730789,-1.0
factorlib__turn,-0.05713869867946523,-1.0
factorlib__change_ratio,-0.02963725499776732,-1.0
factorlib__daily_return,-0.0298671547527872,-1.0
factorlib__momentum_5,-0.036925258572503374,-1.0
factorlib__reversal_5,0.036925258572503374,1.0
factorlib__volatility_5,-0.04053701729205642,-1.0
factorlib__total_market_cap,-0.00872240878152717,-1.0
factorlib__float_market_cap,-0.0029748222321233234,-1.0
factorlib__pe_ttm,-0.0024538856735887705,-1.0
factorlib__pb,-0.013775409848205245,-1.0
factorlib__ps_ttm,-0.010971711525261031,-1.0
factorlib__sma_20,-0.0005357250909504711,-1.0
factorlib__ema_20,-0.0008871222610694493,-1.0
factorlib__macd_diff_12_26_9,-0.02686832046147821,-1.0
factorlib__macd_dea_12_26_9,-0.021639764480915986,-1.0
factorlib__macd_hist_12_26_9,-0.02349279927187486,-1.0
factorlib__rsi_12,-0.04176020726681741,-1.0
factorlib__kdj_k_9_3_3,-0.027787866892761602,-1.0
factorlib__kdj_d_9_3_3,-0.022806385792654184,-1.0
factorlib__bias_20,-0.04084886382283147,-1.0
factorlib__cci_14,-0.02883071347574481,-1.0
factorlib__atr_14,-0.017281107817806767,-1.0
factorlib__roe_avg_ttm,0.012695410304804979,1.0
factorlib__roa_avg_ttm,0.013912491932492771,1.0
factorlib__gross_profit_rate_ttm,0.004433526970310088,1.0
factorlib__net_profit_rate_ttm,0.011952769418389632,1.0
factorlib__debt_to_asset_lf,-0.004273090380874308,-1.0
factorlib__current_ratio_lf,0.004631102278858872,1.0
factorlib__netflow_amount_main,-0.011581441009513842,-1.0
factorlib__netflow_amount_rate_main,-0.022247270815489367,-1.0
factorlib__net_active_buy_amount_main,-0.018862334238339183,-1.0
factorlib__beta_000300SH_22,0.008915299762244821,1.0
factorlib__list_days,-0.00011841920374873345,-1.0
