candidate,candidate_level_J_computed,selection_role,selection_reason,active_days,evaluation_years,evaluation_protocol,baseline_oos_rank_ic,augmented_oos_rank_ic,oos_rank_ic_increment,positive_increment_day_ratio,positive_years,candidate_min_nonzero_window_ratio,candidate_min_positive_weight_ratio,candidate_max_abs_rank_correlation,oos_days,windows,baseline_a_proxy,augmented_a_proxy,delta_a_proxy,baseline_b_proxy,augmented_b_proxy,delta_b_proxy,baseline_score_proxy,augmented_score_proxy,delta_score_proxy,baseline_b_model_score,augmented_b_model_score,baseline_b_nonzero_window_ratio,augmented_b_nonzero_window_ratio,score_days,score_weight_windows,positive_score_years,score_years,positive_score_window_ratio,score_windows,individual_passed,individual_reasons,individual_cache_key,force_refreshed,evaluation_status,conditional_order,conditional_passed,conditional_reasons,conditional_delta_score_proxy,conditional_cache_key,conditional_baseline_candidates,frozen_after_validation,feature,benchmark,passed
self__FR-001,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,730,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05873647270706317,-1.4729327747307186e-05,0.041791044776119404,0.0,0.11764705882352941,1.0,0.11411875473519677,670.0,34.0,0.9054054054054054,0.9054054054054054,0.0,0.5675675675675675,0.5675675675675675,0.0,0.6689189189189189,0.6689189189189189,0.0,1.1441729264941587,1.1356711596014788,0.8387096774193549,0.8387096774193549,670.0,31.0,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,0efcf376d0cc152fb530ebe4b7e6bebbef1978f796e9f3c85fdf250d84249525,False,individual_failed,,,,,,,False,self__FR-001,factorwise_elastic_net_J,False
self__FR-002,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,730,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.06002887912536332,0.0012776770905528452,0.5567164179104478,3.0,0.9411764705882353,1.0,0.16041983815309221,670.0,34.0,0.9054054054054054,0.9391891891891893,0.03378378378378388,0.5675675675675675,0.8108108108108109,0.2432432432432433,0.6689189189189189,0.8493243243243243,0.1804054054054054,1.1441729264941587,1.5411284621063972,0.8387096774193549,1.0,670.0,31.0,0.0,0.0,0.0,0.0,True,,14b23c37712510a27b9c9cd850352d40854deae27237f650e8f87de213695847,False,conditional_failed,4.0,False,official A/B score proxy increment is not positive,-0.025675675675675746,b9307aefc81bc6110d934666d1cdcf21cbffd3308753e0af8fb33b9fe5d3f15e,self__PV-008,False,self__FR-002,factorwise_elastic_net_J,True
self__FR-003,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,682,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05852552998294648,-0.00022567205186399143,0.04626865671641791,0.0,0.11764705882352941,1.0,0.3590241500208835,670.0,34.0,0.9054054054054054,0.9054054054054054,0.0,0.5675675675675675,0.6486486486486487,0.08108108108108114,0.6689189189189189,0.7256756756756757,0.05675675675675684,1.1441729264941587,1.2019780690104025,0.8387096774193549,0.8709677419354839,670.0,31.0,0.0,0.0,0.0,0.0,True,,e4a241bd5842beb8ffb5a1fc477eaa42ff5d8be6c8154f8e2dbd895f8effec08,False,conditional_failed,16.0,False,official A/B score proxy increment is not positive,0.0,4bb305dd78ef01c64381d15e63fda9524d9efba572306a47dfdcbbb7ec2fee9c,"self__PV-008,self__PV-019,self__FR-006,self__HF-004,self__PV-011",False,self__FR-003,factorwise_elastic_net_J,True
self__FR-004,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,682,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05834643914222603,-0.00040476289258444296,0.4552238805970149,2.0,0.8529411764705882,1.0,0.2999275688590771,670.0,34.0,0.9054054054054054,0.918918918918919,0.013513513513513598,0.5675675675675675,0.7027027027027027,0.1351351351351352,0.6689189189189189,0.7675675675675675,0.09864864864864864,1.1441729264941587,1.2972891895018759,0.8387096774193549,0.9032258064516129,670.0,31.0,0.0,0.0,0.0,0.0,True,,4702f9d82d1aa46608302fd5489b0f388e28fcda82265f7f6e931ef2c9acf3d9,False,conditional_failed,9.0,False,official A/B score proxy increment is not positive,0.0,ec968eba86654dd8e15f859521576b255592e48e3863a467b7e1d58e3234baef,"self__PV-008,self__PV-019,self__FR-006",False,self__FR-004,factorwise_elastic_net_J,True
self__FR-005,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,730,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05885978672653025,0.00010858469171977354,0.3373134328358209,3.0,0.6470588235294118,1.0,0.2294225447690795,670.0,34.0,0.9054054054054054,0.9121621621621621,0.006756756756756688,0.5675675675675675,0.6486486486486487,0.08108108108108114,0.6689189189189189,0.7277027027027027,0.058783783783783794,1.1441729264941587,1.236892919719554,0.8387096774193549,0.9354838709677419,670.0,31.0,0.0,0.0,0.0,0.0,True,,84646a54563c2a06e59069227056ddbfaae96bfd786231fc0789ab5eccdb7c48,False,conditional_failed,13.0,False,official A/B score proxy increment is not positive,0.0,077dd91de94b255061200d23266d78b8fde505e8b4b02db03ed7ab9fa27990cd,"self__PV-008,self__PV-019,self__FR-006,self__HF-004,self__PV-011",False,self__FR-005,factorwise_elastic_net_J,True
self__FR-006,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,682,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05902377163409122,0.0002725695992807453,0.5029850746268657,1.0,0.8823529411764706,1.0,0.42891748107274763,670.0,34.0,0.9054054054054054,0.9256756756756757,0.020270270270270285,0.5675675675675675,0.7567567567567568,0.18918918918918926,0.6689189189189189,0.8074324324324325,0.1385135135135136,1.1441729264941587,1.3921400621139242,0.8387096774193549,1.0,670.0,31.0,0.0,0.0,0.0,0.0,True,,a9a8f0c86cc16df83757ac4c8e1682b21a7d60b5c4e7dea08efce479ee25b3f8,False,promoted_to_frozen_I,7.0,True,,0.002027027027027062,e08670affa0e5fa6f867d276c1a86908aacbbcf7ef31d97740e70967473ef82b,"self__PV-008,self__PV-019",True,self__FR-006,factorwise_elastic_net_J,True
self__FR-008,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,50,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05875120203481047,0.0,0.0,0.0,0.0,0.0,0.031427991523914525,670.0,34.0,0.9054054054054054,0.9054054054054054,0.0,0.5675675675675675,0.5675675675675675,0.0,0.6689189189189189,0.6689189189189189,0.0,1.1441729264941587,1.1441729264941587,0.8387096774193549,0.8387096774193549,670.0,31.0,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,4b57f6ed8ad8912e95c2ca4a774609b17a49575db433a991864f5393ac8081f6,False,individual_failed,,,,,,,False,self__FR-008,factorwise_elastic_net_J,False
self__FR-009,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,0,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05875120203481047,0.0,0.0,0.0,0.0,0.0,2.71807622567587e-06,670.0,34.0,0.9054054054054054,0.9054054054054054,0.0,0.5675675675675675,0.5675675675675675,0.0,0.6689189189189189,0.6689189189189189,0.0,1.1441729264941587,1.1441729264941587,0.8387096774193549,0.8387096774193549,670.0,31.0,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,40e55b2555194eef841ad73c761c2714facd729628a0981a84a9c3d7e20a3f6e,False,individual_failed,,,,,,,False,self__FR-009,factorwise_elastic_net_J,False
self__FR-010,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,730,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.058748586452726355,-2.6155820841129084e-06,0.29253731343283584,1.0,0.5882352941176471,1.0,0.3485892521501366,670.0,34.0,0.9054054054054054,0.9121621621621621,0.006756756756756688,0.5675675675675675,0.6486486486486487,0.08108108108108114,0.6689189189189189,0.7277027027027027,0.058783783783783794,1.1441729264941587,1.1980655760682646,0.8387096774193549,0.8709677419354839,670.0,31.0,0.0,0.0,0.0,0.0,True,,b716e85b116c23a5c7efa94be13fabe9f2c3c761a4473459a59813935c334ea4,False,conditional_failed,14.0,False,official A/B score proxy increment is not positive,0.0,68335da27ebbac18bc9a9fb6cd6e0d005093b52cc478c2963452626c59325da9,"self__PV-008,self__PV-019,self__FR-006,self__HF-004,self__PV-011",False,self__FR-010,factorwise_elastic_net_J,True
self__FR-011,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,730,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.0578479047916815,-0.0009032972431289761,0.09104477611940298,1.0,0.20588235294117646,1.0,0.5384410867646575,670.0,34.0,0.9054054054054054,0.9054054054054054,0.0,0.5675675675675675,0.6486486486486487,0.08108108108108114,0.6689189189189189,0.7256756756756757,0.05675675675675684,1.1441729264941587,1.2033272352881474,0.8387096774193549,0.9032258064516129,670.0,31.0,0.0,0.0,0.0,0.0,True,,720ebd0950161e53262ac4c2d7fe2b7bfd78c0dbff06f10425c1a2bbf25c53ee,False,conditional_failed,17.0,False,official A/B score proxy increment is not positive,0.0,192e1d664293a5aaed029a539455274f04e820c4f92cc7cbaec7edb1469452ce,"self__PV-008,self__PV-019,self__FR-006,self__HF-004,self__PV-011",False,self__FR-011,factorwise_elastic_net_J,True
