candidate,evaluation_protocol,candidate_level_J_computed,individual_baseline_candidates,baseline_a_proxy,augmented_a_proxy,delta_a_proxy,baseline_b_proxy,augmented_b_proxy,delta_b_proxy,baseline_score_proxy,augmented_score_proxy,delta_score_proxy,baseline_b_model_score,augmented_b_model_score,baseline_b_nonzero_window_ratio,augmented_b_nonzero_window_ratio,score_days,score_weight_windows,baseline_oos_rank_ic,augmented_oos_rank_ic,oos_rank_ic_increment,positive_score_years,score_years,positive_score_window_ratio,score_windows,individual_passed,individual_reasons,active_days,tree_data_eligible,conditional_passed,tree_incremental_passed,evaluation_status,marginal_reasons,reasons,frozen_after_validation,conditional_order,conditional_baseline_candidates,conditional_delta_score_proxy,conditional_positive_window_ratio,conditional_positive_years,conditional_reasons
self__FR-001,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7837837837837838,0.0,0.8405405405405405,0.8405405405405405,0.0,1.4371268703829252,1.408751326126606,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.06070911786611322,-4.3005689252863476e-05,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,730,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__FR-002,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7837837837837838,0.0,0.8405405405405405,0.8405405405405405,0.0,1.4371268703829252,1.4637676992882258,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.06205802599757323,0.001305902442207147,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,730,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__FR-003,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7837837837837838,0.0,0.8405405405405405,0.8405405405405405,0.0,1.4371268703829252,1.466352852469536,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.060285433905590276,-0.00046668964977580885,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,682,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__FR-004,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8648648648648649,0.08108108108108114,0.8405405405405405,0.8972972972972973,0.05675675675675684,1.4371268703829252,1.6409645804176807,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.06069443863336746,-5.768492199863388e-05,0.0,0.0,0.0,0.0,True,,682,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,5.0,"self__PV-008,self__OB-003,self__PV-020",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__FR-005,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.4937853925785065,0.8709677419354839,0.9354838709677419,670.0,31.0,0.06075212355536609,0.06097352192962707,0.00022139837426099555,0.0,0.0,0.0,0.0,True,,730,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,11.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__FR-006,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7837837837837838,0.0,0.8405405405405405,0.8405405405405405,0.0,1.4371268703829252,1.4337462964402226,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.06045659024906981,-0.0002955333062962894,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,682,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__FR-008,,,,,,,,,,,,,,,,,,,,,,,,,,False,,50,False,False,False,,,active days below 240,,,,,,,
self__FR-009,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,False,False,False,,,active days below 240,,,,,,,
self__FR-010,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.5156038708879778,0.8709677419354839,0.9354838709677419,670.0,31.0,0.06075212355536609,0.06086495223755892,0.00011282868219283134,0.0,0.0,0.0,0.0,True,,730,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,12.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__FR-011,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7567567567567568,-0.027027027027026973,0.8405405405405405,0.8216216216216217,-0.018918918918918837,1.4371268703829252,1.392671773894126,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.059899337332369955,-0.0008527862229961306,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,730,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
