candidate,evaluation_protocol,candidate_level_J_computed,candidate_level_J_reason
self__FR-001,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-002,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-003,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-004,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-005,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-006,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-010,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-011,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-012,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-014,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__FR-015,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__HF-001,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__HF-002,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__HF-003,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__HF-004,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__INT-002,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__OB-001,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__OB-002,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__OB-003,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__OB-004,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__OB-005,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-001,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-002,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-003,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-004,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-005,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-006,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-008,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-009,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-010,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-011,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-013,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-014,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-015,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-016,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-019,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-020,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-021,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-022,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
self__PV-023,direct_interaction_pool_T_v4_official_J,False,preserve LightGBM interactions; score the complete route once
