candidate,evaluation_protocol,individual_baseline_candidates,entry_rank_ic_mean,entry_rank_ic_t_stat,candidate_max_abs_rank_correlation,single_effect_passed,orthogonal_passed,tree_entry_passed,tree_entry_reasons,individual_passed,individual_reasons,evaluation_status
self__FR-001,orthogonal_T_entry_v1,,-0.003711067124446559,-2.490095940346096,0.11435481931256268,False,True,True,,True,,entry_passed_pending_freeze
self__FR-002,orthogonal_T_entry_v1,,0.01059539351064185,4.5724476956267806,0.16048899323029858,True,True,True,,True,,entry_passed_pending_freeze
self__FR-003,cheap_T_entry_v1,,-0.007632513275889918,-2.442105376635539,0.3589422951366251,False,False,False,entry correlation is not low enough,False,,
self__FR-004,orthogonal_T_entry_v1,,0.007707182509381019,2.4864266519612594,0.29987837226175246,True,True,True,,True,,entry_passed_pending_freeze
self__FR-005,orthogonal_T_entry_v1,,0.013155186997697224,4.06295492599638,0.2291365026547814,True,True,True,,True,,entry_passed_pending_freeze
self__FR-006,cheap_T_entry_v1,,0.010790773327610557,3.621978956400115,0.42899578242879244,True,False,False,entry correlation is not low enough,False,,
self__FR-010,orthogonal_T_entry_v1,,-0.00045922755950413626,-0.24633930733087742,0.3489769337526945,False,True,True,,True,,entry_passed_pending_freeze
self__FR-011,cheap_T_entry_v1,,0.00519567939799669,0.9652097501525075,0.5379503216316867,True,False,False,entry correlation is not low enough,False,,
self__FR-012,orthogonal_T_entry_v1,,0.0022604337061911373,0.7542727729145537,0.1254251619313263,True,True,True,,True,,entry_passed_pending_freeze
self__FR-013,orthogonal_T_entry_v1,,0.0013806109690857684,0.5478557195345712,0.01906742387599603,True,True,True,,True,,entry_passed_pending_freeze
self__FR-014,cheap_T_entry_v1,,0.015552898866528893,3.9880738828914772,0.5362473637645349,True,False,False,entry correlation is not low enough,False,,
self__FR-015,cheap_T_entry_v1,,0.009734725303421099,3.9915309838593735,0.38194494172930926,True,False,False,entry correlation is not low enough,False,,
self__HF-001,orthogonal_T_entry_v1,,0.01177131161235242,6.746800946083119,0.14815258801922987,True,True,True,,True,,entry_passed_pending_freeze
self__HF-002,cheap_T_entry_v1,,-0.0314705782190214,-11.019209592499271,0.3759550581158286,False,False,False,entry correlation is not low enough,False,,
