block,train_start,train_end,prediction_start,prediction_end,prediction_days,rank_ic_mean,train_rows,nonzero_features,coefficient_l1,iterations
0,2022-09-30,2022-12-29,2023-01-03,2023-02-06,20,0.04137764108798346,59943,310,1.8649604320526123,476
1,2022-11-04,2023-02-03,2023-02-07,2023-03-06,20,0.07519344602441261,59948,311,1.9417500495910645,423
2,2022-12-02,2023-03-03,2023-03-07,2023-04-03,20,-0.05199934983435702,59957,302,1.6074509620666504,416
3,2022-12-30,2023-03-31,2023-04-04,2023-05-05,20,0.030067476705898183,59975,306,1.5875208377838135,465
4,2023-02-06,2023-05-04,2023-05-08,2023-06-02,20,0.018665787306110293,59989,312,1.705811858177185,452
5,2023-03-06,2023-06-01,2023-06-05,2023-07-04,20,0.017106635382977416,59964,321,1.94675874710083,1074
6,2023-04-03,2023-07-03,2023-07-05,2023-08-01,20,0.020448003374696086,59927,316,1.9872492551803589,640
7,2023-05-05,2023-07-31,2023-08-02,2023-08-29,20,0.02030446992275898,59930,328,2.124440908432007,538
8,2023-06-02,2023-08-28,2023-08-30,2023-09-26,20,0.0476737903967767,59950,312,2.0775327682495117,494
9,2023-07-04,2023-09-25,2023-09-27,2023-11-01,20,0.026726201793680255,59987,328,2.070711851119995,403
10,2023-08-01,2023-10-31,2023-11-02,2023-11-29,20,0.01534287630706754,59989,312,2.0185718536376953,531
11,2023-08-29,2023-11-28,2023-11-30,2023-12-27,20,-0.006410817624829759,59990,330,2.0952706336975098,583
12,2023-09-26,2023-12-26,2023-12-28,2023-12-29,2,0.06583426581109456,59974,307,1.7595360279083252,474
