candidate,individual_baseline_oos_rank_ic,individual_augmented_oos_rank_ic,individual_oos_rank_ic_increment,individual_positive_window_ratio,individual_positive_years,individual_oos_days,individual_windows,conditional_baseline_oos_rank_ic,conditional_augmented_oos_rank_ic,conditional_oos_rank_ic_increment,conditional_positive_window_ratio,conditional_positive_years,conditional_oos_days,conditional_windows,evaluation_protocol,active_days,tree_data_eligible,individual_passed,conditional_passed,tree_incremental_passed,evaluation_status,reasons,frozen_after_validation
self__FR-001,0.060752123555366,0.0607091178661132,-4.300568925286347e-05,0.4411764705882353,1.0,670.0,34.0,0.060752123555366,0.0607091178661132,-4.300568925286347e-05,0.4411764705882353,1.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__FR-002,0.060752123555366,0.0620580259975732,0.0013059024422071,0.6470588235294118,2.0,670.0,34.0,0.060752123555366,0.0620580259975732,0.0013059024422071,0.6470588235294118,2.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,True,True,True,frozen_prior_evaluation,,True
self__FR-003,0.060752123555366,0.0602854339055902,-0.0004666896497758,0.3823529411764705,0.0,670.0,34.0,0.060752123555366,0.0602854339055902,-0.0004666896497758,0.3823529411764705,0.0,670.0,34.0,frozen_pool_increment_T_v2,682,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__FR-004,0.060752123555366,0.0606944386333674,-5.768492199863388e-05,0.5882352941176471,2.0,670.0,34.0,0.060752123555366,0.0606944386333674,-5.768492199863388e-05,0.5882352941176471,2.0,670.0,34.0,frozen_pool_increment_T_v2,682,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive | conditional: tree OOS Rank IC increment is not positive,False
self__FR-005,0.060752123555366,0.060973521929627,0.0002213983742609,0.6176470588235294,2.0,670.0,34.0,0.060752123555366,0.060973521929627,0.0002213983742609,0.6176470588235294,2.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,True,True,True,frozen_prior_evaluation,,True
self__FR-006,0.060752123555366,0.0604565902490698,-0.0002955333062962,0.4705882352941176,2.0,670.0,34.0,0.060752123555366,0.0604565902490698,-0.0002955333062962,0.4705882352941176,2.0,670.0,34.0,frozen_pool_increment_T_v2,682,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate,False
self__FR-008,,,,,,,,,,,,,,,,50,False,False,False,False,,active days below 240,
self__FR-009,,,,,,,,,,,,,,,,0,False,False,False,False,,active days below 240,
self__FR-010,0.060752123555366,0.0608649522375589,0.0001128286821928,0.5882352941176471,1.0,670.0,34.0,0.060752123555366,0.0608649522375589,0.0001128286821928,0.5882352941176471,1.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,False,False,False,frozen_prior_evaluation,individual: tree increment is positive in too few development years | conditional: tree increment is positive in too few development years,False
self__FR-011,0.060752123555366,0.0598993373323699,-0.0008527862229961,0.4117647058823529,1.0,670.0,34.0,0.060752123555366,0.0598993373323699,-0.0008527862229961,0.4117647058823529,1.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__FR-012,0.060752123555366,0.0603583771903106,-0.0003937463650554,0.2058823529411764,0.0,670.0,34.0,0.060752123555366,0.0603583771903106,-0.0003937463650554,0.2058823529411764,0.0,670.0,34.0,frozen_pool_increment_T_v2,431,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__FR-013,,,,,,,,,,,,,,,,168,False,False,False,False,,active days below 240,
self__FR-014,0.060752123555366,0.0604461921132133,-0.0003059314421527,0.5,1.0,670.0,34.0,0.060752123555366,0.0604461921132133,-0.0003059314421527,0.5,1.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__FR-015,0.060752123555366,0.0609847473860747,0.0002326238307086,0.6176470588235294,2.0,670.0,34.0,0.060752123555366,0.0609847473860747,0.0002326238307086,0.6176470588235294,2.0,670.0,34.0,frozen_pool_increment_T_v2,682,True,True,True,True,frozen_prior_evaluation,,True
self__HF-001,0.060752123555366,0.0606474876857722,-0.0001046358695938,0.5588235294117647,1.0,670.0,34.0,0.060752123555366,0.0606474876857722,-0.0001046358695938,0.5588235294117647,1.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree increment is positive in too few development years,False
self__HF-002,0.060752123555366,0.0614976958917247,0.0007455723363586,0.5,2.0,670.0,34.0,0.060752123555366,0.0614976958917247,0.0007455723363586,0.5,2.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,False,False,False,frozen_prior_evaluation,individual: tree positive-window ratio is below the gate | conditional: tree positive-window ratio is below the gate,False
self__HF-003,0.060752123555366,0.0615944384384734,0.0008423148831073,0.7647058823529411,3.0,670.0,34.0,0.060752123555366,0.0615944384384734,0.0008423148831073,0.7647058823529411,3.0,670.0,34.0,frozen_pool_increment_T_v2,728,True,True,True,True,frozen_prior_evaluation,,True
self__HF-004,0.060752123555366,0.0610201262639587,0.0002680027085926,0.5588235294117647,2.0,670.0,34.0,0.060752123555366,0.0610201262639587,0.0002680027085926,0.5588235294117647,2.0,670.0,34.0,frozen_pool_increment_T_v2,700,True,True,True,True,frozen_prior_evaluation,,True
self__INT-002,0.060752123555366,0.061116749266154,0.0003646257107879,0.5,2.0,670.0,34.0,0.060752123555366,0.061116749266154,0.0003646257107879,0.5,2.0,670.0,34.0,frozen_pool_increment_T_v2,343,True,False,False,False,frozen_prior_evaluation,individual: tree positive-window ratio is below the gate | conditional: tree positive-window ratio is below the gate,False
self__INT-003,,,,,,,,,,,,,,,,239,False,False,False,False,,active days below 240,
self__OB-001,0.060752123555366,0.0608107984840431,5.8674928677078625e-05,0.6470588235294118,2.0,670.0,34.0,0.060752123555366,0.0608107984840431,5.8674928677078625e-05,0.6470588235294118,2.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,True,True,True,frozen_prior_evaluation,,True
self__OB-002,0.060752123555366,0.0604745136168323,-0.0002776099385337,0.3823529411764705,1.0,670.0,34.0,0.060752123555366,0.0604745136168323,-0.0002776099385337,0.3823529411764705,1.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,False,False,False,frozen_prior_evaluation,individual: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years | conditional: tree OOS Rank IC increment is not positive; tree positive-window ratio is below the gate; tree increment is positive in too few development years,False
self__OB-003,0.060752123555366,0.0613255899047893,0.0005734663494232,0.6764705882352942,3.0,670.0,34.0,0.060752123555366,0.0613255899047893,0.0005734663494232,0.6764705882352942,3.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,True,True,True,frozen_prior_evaluation,,True
self__OB-004,0.060752123555366,0.0608868452073607,0.0001347216519946,0.6176470588235294,1.0,670.0,34.0,0.060752123555366,0.0608868452073607,0.0001347216519946,0.6176470588235294,1.0,670.0,34.0,frozen_pool_increment_T_v2,730,True,False,False,False,frozen_prior_evaluation,individual: tree increment is positive in too few development years | conditional: tree increment is positive in too few development years,False
