candidate,individual_baseline_oos_rank_ic,individual_augmented_oos_rank_ic,individual_oos_rank_ic_increment,individual_positive_window_ratio,individual_positive_years,individual_oos_days,individual_windows,conditional_baseline_oos_rank_ic,conditional_augmented_oos_rank_ic,conditional_oos_rank_ic_increment,conditional_positive_window_ratio,conditional_positive_years,conditional_oos_days,conditional_windows
self__FR-001,0.03974139255211792,0.039180505359744655,-0.0005608871923732658,0.35294117647058826,0.0,670.0,34.0,0.04670868491387933,0.04689992607957009,0.0001912411656907591,0.3235294117647059,3.0,670.0,34.0
self__FR-002,0.03974139255211792,0.04007253063825458,0.0003311380861366621,0.5588235294117647,2.0,670.0,34.0,0.04609649239431958,0.04689992607957009,0.0008034336852505057,0.6764705882352942,3.0,670.0,34.0
self__FR-003,0.03974139255211792,0.03937727047477711,-0.00036412207734081006,0.4411764705882353,1.0,670.0,34.0,0.0470576128901476,0.04689992607957009,-0.00015768681057751733,0.5,0.0,670.0,34.0
self__FR-004,0.03974139255211792,0.03962113349943855,-0.00012025905267936651,0.47058823529411764,1.0,670.0,34.0,0.04695594139199859,0.04689992607957009,-5.601531242850253e-05,0.47058823529411764,2.0,670.0,34.0
self__FR-005,0.03974139255211792,0.03871594196558458,-0.0010254505865333397,0.3235294117647059,0.0,670.0,34.0,0.047036827813332564,0.04689992607957009,-0.00013690173376248408,0.4411764705882353,1.0,670.0,34.0
self__FR-006,0.03974139255211792,0.039275065723827066,-0.0004663268282908536,0.38235294117647056,1.0,670.0,34.0,0.04670152301217056,0.04689992607957009,0.000198403067399524,0.5588235294117647,2.0,670.0,34.0
self__FR-010,0.03974139255211792,0.03950484830169113,-0.0002365442504267942,0.5,1.0,670.0,34.0,0.046720030906954924,0.04689992607957009,0.0001798951726151586,0.5,3.0,670.0,34.0
self__FR-011,0.03974139255211792,0.039458204092705826,-0.0002831884594121002,0.47058823529411764,2.0,670.0,34.0,0.04676300310986167,0.04689992607957009,0.00013692296970841693,0.6470588235294118,2.0,670.0,34.0
self__OB-001,0.03974139255211792,0.03963963080977949,-0.00010176174233843331,0.5294117647058824,1.0,670.0,34.0,0.04663360881860262,0.04689992607957009,0.0002663172609674596,0.5882352941176471,1.0,670.0,34.0
self__PV-001,0.03974139255211792,0.042550462766639915,0.0028090702145219973,0.6764705882352942,3.0,670.0,34.0,0.04402379873071394,0.04689992607957009,0.0028761273488561506,0.7352941176470589,2.0,670.0,34.0
self__PV-002,0.03974139255211792,0.04128810657221002,0.0015467140200921016,0.5588235294117647,3.0,670.0,34.0,0.045811240072409394,0.04689992607957009,0.0010886860071606887,0.5588235294117647,3.0,670.0,34.0
self__PV-003,0.03974139255211792,0.039277023515387595,-0.0004643690367303307,0.47058823529411764,0.0,670.0,34.0,0.04676971391600213,0.04689992607957009,0.00013021216356794816,0.5882352941176471,2.0,670.0,34.0
self__PV-004,0.03974139255211792,0.039224517144536765,-0.0005168754075811571,0.4117647058823529,0.0,670.0,34.0,0.04711879426874328,0.04689992607957009,-0.00021886818917321208,0.5588235294117647,1.0,670.0,34.0
self__PV-005,0.03974139255211792,0.039213499194944254,-0.0005278933571736706,0.5588235294117647,2.0,670.0,34.0,0.047303827061736706,0.04689992607957009,-0.0004039009821666309,0.47058823529411764,0.0,670.0,34.0
self__PV-006,0.03974139255211792,0.03928679025027287,-0.00045460230184505326,0.47058823529411764,1.0,670.0,34.0,0.04676294864717406,0.04689992607957009,0.00013697743239601812,0.5,3.0,670.0,34.0
self__PV-008,0.03974139255211792,0.04044298251829577,0.0007015899661778402,0.4117647058823529,3.0,670.0,34.0,0.046825293163477597,0.04689992607957009,7.463291609248742e-05,0.38235294117647056,1.0,670.0,34.0
self__PV-009,0.03974139255211792,0.03956247226508879,-0.00017892028702913288,0.4117647058823529,1.0,670.0,34.0,0.04655827830618595,0.04689992607957009,0.0003416477733841312,0.38235294117647056,1.0,670.0,34.0
self__PV-010,0.03974139255211792,0.040391867383825684,0.0006504748317077591,0.35294117647058826,2.0,670.0,34.0,0.04631088930270293,0.04689992607957009,0.0005890367768671543,0.35294117647058826,2.0,670.0,34.0
self__PV-011,0.03974139255211792,0.0407363222959482,0.0009949297438302778,0.4411764705882353,2.0,670.0,34.0,0.046488542832511796,0.04689992607957009,0.0004113832470582851,0.38235294117647056,2.0,670.0,34.0
self__PV-013,0.03974139255211792,0.04089680422664771,0.0011554116745297845,0.47058823529411764,2.0,670.0,34.0,0.047473732651964556,0.04689992607957009,-0.0005738065723944782,0.2647058823529412,0.0,670.0,34.0
self__PV-014,0.03974139255211792,0.040022693856670406,0.0002813013045524909,0.5588235294117647,2.0,670.0,34.0,0.04648844030447851,0.04689992607957009,0.00041148577509157215,0.5882352941176471,2.0,670.0,34.0
self__PV-015,0.03974139255211792,0.039885148743184225,0.00014375619106629837,0.14705882352941177,1.0,670.0,34.0,0.04698203369838149,0.04689992607957009,-8.210761881140533e-05,0.17647058823529413,0.0,670.0,34.0
self__PV-016,0.03974139255211792,0.04014248212330672,0.0004010895711887975,0.2647058823529412,1.0,670.0,34.0,0.04682982361862813,0.04689992607957009,7.010246094195277e-05,0.23529411764705882,1.0,670.0,34.0
self__PV-019,0.03974139255211792,0.039890649570146465,0.0001492570180285391,0.3235294117647059,1.0,670.0,34.0,0.04662791011711391,0.04689992607957009,0.00027201596245617174,0.20588235294117646,2.0,670.0,34.0
